mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SUPV3L1	6832	4.53715970705204e-06	0.232740871401312	0.0826352897445388	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SUSD2	56241	1.35901149312046e-09	-0.304475947637104	2.68635801845121e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SVEP1	79987	1.06046346247383e-10	-0.323412421545976	2.12113901764016e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SWAP70	23075	1.85080515150229e-06	-0.241804737722088	0.0341825203430958	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYDE1	85360	2.14830223248325e-08	-0.282319988200757	0.000416469870789202	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYNC	81493	1.08609610644632e-06	-0.247028028837312	0.0202252816942434	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYNE1	23345	2.58284160780084e-12	-0.348836864693211	5.21088294373819e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYNJ1	8867	2.80993508702191e-07	-0.259778513849054	0.00531752115868027	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYNM	23336	2.1429056054744e-09	-0.30094850112453	4.22267377648436e-05	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYNPO	11346	1.27417405828841e-11	-0.338198377231214	2.56312853565297e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYT11	23208	2.9513574187764e-07	-0.259327163827894	0.0055819022861318	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	SYT15	83849	5.58461686563133e-09	-0.293370277670833	0.000109419398248315	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAF1D	79101	1.4491614219736e-07	0.265784261962156	0.00276340591556146	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAF2	6873	8.37164217948327e-08	0.270651425423477	0.00160459265654156	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAGAP	117289	3.37713179420489e-08	-0.278499429220997	0.000652326777368616	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAL1	6886	2.8023191845559e-10	-0.316354583417201	5.58446167098299e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAOK3	51347	3.52829268328605e-09	-0.297030859366382	6.93168380558377e-05	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TAPT1	202018	2.48767348240316e-08	-0.281087534746808	0.000481563832723603	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TARDBP	23435	1.53568567107243e-06	0.243647114939826	0.0284455056852746	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TATDN1	83940	7.49733608529368e-12	0.341778513426354	1.50988851421729e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBC1D2B	23102	4.61398736572994e-09	-0.294898523505401	9.04756782545983e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBC1D5	9779	2.28829779371616e-08	-0.281790246685454	0.000443357697532506	NA
