mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf53	78995	1.27453603226968e-13	0.424323746450618	2.46903120171282e-09	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf59	54785	2.74524338492603e-06	-0.276474282861907	0.0479895996118919	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf73	55018	1.55266111734411e-18	-0.493536725725702	3.05517128059801e-14	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf76	388341	3.80511464230902e-18	-0.488590673873647	7.48351896702915e-14	YES
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf91	84981	5.90342890737674e-15	-0.444719598995547	1.15028312260236e-10	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C17orf96	100170841	1.00505359923453e-06	0.287866594846887	0.0178346761184167	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C18orf1	753	2.28517939644061e-06	-0.278591980508769	0.0400523392814146	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C18orf22	79863	1.24676238932864e-06	0.285465318138987	0.0220589669543916	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf10	56005	1.73592183516647e-07	0.306655466436303	0.00314427522003702	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf21	126353	1.03081937900648e-10	-0.374409027725265	1.95927839367762e-06	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf22	91300	5.46666363820947e-06	0.268359944819563	0.0946060809228531	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf24	55009	9.81760086560257e-08	0.312479489129272	0.00178670518153101	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf28	126321	2.1538326677728e-14	0.436287040560031	4.18640455635e-10	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C19orf48	84798	2.95635693703389e-09	0.345792687310172	5.52454420823523e-05	NA
