SYMBOL	ENSEMBL	SSF339.A10_R	SSF339.A11_R	SSF339.A12_R	SSF339.A1_R	SSF339.A2_R	SSF339.A3_R	SSF339.A5_R	SSF339.A6_R	SSF339.A7_R	SSF339.A8_R	SSF339.B11_R	SSF339.B12_R	SSF339.B1_R	SSF339.B2_R	SSF339.B3_R	SSF339.B4_R	SSF339.B5_R	SSF339.B7_R	SSF339.B8_R	SSF339.B9_R	SSF339.C11_R	SSF339.C12_R	SSF339.C1_R	SSF339.C4_R	SSF339.C5_R	SSF339.C6_R	SSF339.C7_R	SSF339.C9_R	SSF339.D10_R	SSF339.D12_R	SSF339.D1_R	SSF339.D4_R	SSF339.D5_R	SSF339.D6_R	SSF339.D7_R	SSF339.D9_R	SSF339.E11_R	SSF339.E12_R	SSF339.E3_R	SSF339.E4_R	SSF339.E5_R	SSF339.E7_R	SSF339.F10_R	SSF339.F12_R	SSF339.F3_R	SSF339.F4_R	SSF339.F5_R	SSF339.F6_R	SSF339.F7_R	SSF339.F8_R	SSF339.F9_R	SSF339.G10_R	SSF339.G11_R	SSF339.G1_R	SSF339.G2_R	SSF339.G3_R	SSF339.G4_R	SSF339.G5_R	SSF339.G6_R	SSF339.G7_R	SSF339.G8_R	SSF339.G9_R	SSF339.H10_R	SSF339.H11_R	SSF339.H12_R	SSF339.H1_R	SSF339.H2_R	SSF339.H4_R	SSF339.H5_R	SSF339.H6_R	SSF339.H7_R	SSF339.H9_R
Ano1	ENSMUSG00000031075	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.89562675439997	3.89562675439997	3.89562675439997	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.41161380451016	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.89562675439997	1.12482215570722	-1.25076140402539	3.89562675439997	-1.25076140402539	3.89562675439997	-1.25076140402539	-1.25076140402539	3.89562675439997	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.39905247247264	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.648936021023744	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.89562675439997
Ano10	ENSMUSG00000037949	-1.25076140402539	-1.25076140402539	-1.25076140402539	6.49723250011257	5.93158665270133	3.87743776050289	5.78012678289395	4.72676083208746	5.33174224389106	-1.25076140402539	5.76222843452325	4.91372853350913	2.86215285147535	-1.25076140402539	6.37147423807883	3.61330112112429	2.90317010734903	6.04011719089671	4.58401070006726	6.33080968001061	6.49723250011257	-1.25076140402539	2.46748944127603	-1.25076140402539	-1.25076140402539	4.61858223328176	-1.25076140402539	-1.25076140402539	-1.25076140402539	5.85020535703413	-1.25076140402539	5.08194081874721	4.17076807380905	6.21931848398504	5.38394585716011	-1.25076140402539	2.64548220089694	5.19082250543653	3.91190261769111	6.49723250011257	-1.25076140402539	6.49723250011257	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	6.49723250011257	5.97017401701029	6.49723250011257	-1.25076140402539	5.6931326310588	-1.25076140402539	-1.25076140402539	5.56730671859552	-1.25076140402539	3.75593538175293	6.49723250011257	4.88013396072095	6.49723250011257	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	6.16154301620421	4.30739341689065	4.63165048118229	6.21544137102157	-1.25076140402539	-1.25076140402539	4.17009500246203
Ano2	ENSMUSG00000038115	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539
Ano3	ENSMUSG00000074968	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.740746717003817	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.740746717003817	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.740746717003817	-1.25076140402539	-1.25076140402539
Ano4	ENSMUSG00000035189	-1.25076140402539	7.38390305352626	-1.25076140402539	1.75307528806733	5.0915141942813	-1.25076140402539	5.32482635845985	1.66139592765926	6.64460972142343	1.19927931123411	7.38390305352626	7.05005918520496	6.33399773345058	-1.25076140402539	4.03892524993379	6.15637909933161	7.38390305352626	7.38390305352626	6.60912701570536	5.51346947159682	-1.25076140402539	-1.25076140402539	4.38284293379999	-1.25076140402539	4.52407107061928	6.84689363706622	6.63943102186581	2.55997165123893	-1.25076140402539	-1.25076140402539	5.18976818109853	7.19518425743944	4.17076807380905	6.58671376896712	6.37666816659272	-1.25076140402539	5.36730042088685	2.84597562743291	7.04557406702419	7.38390305352626	-1.25076140402539	5.10215183330342	7.38390305352626	7.33366259267742	-1.25076140402539	2.66049128573903	4.79228596581215	7.38390305352626	6.16533989246528	-1.25076140402539	6.57977248402999	6.68726169275356	-1.25076140402539	-1.25076140402539	6.12610615651719	-1.25076140402539	6.59111836679372	7.38390305352626	5.97866930922176	-1.25076140402539	-1.25076140402539	3.1141812041125	3.97928690173587	5.31637139772978	-1.25076140402539	-1.25076140402539	-1.25076140402539	6.47181209030301	5.65744237992424	-1.25076140402539	-1.25076140402539	7.00581414706663
Ano5	ENSMUSG00000055489	-1.25076140402539	4.10341913830075	-1.25076140402539	1.75307528806733	-1.25076140402539	-1.25076140402539	2.42700343600884	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.70317218088468	4.10341913830075	4.10341913830075	3.23698527770101	-1.25076140402539	-1.25076140402539	2.90317010734903	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	4.10341913830075	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.12482215570722	-1.25076140402539	2.72119462659438	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.91190261769111	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	2.55532375950314	4.10341913830075	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.35411633539753	-1.25076140402539	4.10341913830075	-1.25076140402539	3.82482634613814	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	4.10341913830075	3.9921138152837	-1.25076140402539	-1.25076140402539	4.10341913830075
Ano6	ENSMUSG00000064210	-1.25076140402539	5.72929007293892	7.19725221800859	6.35846212679442	4.47956864124613	-1.25076140402539	-1.25076140402539	5.67710483132183	-1.25076140402539	7.19725221800859	5.82189343542043	7.12023064579694	6.28051183217682	-1.25076140402539	7.19725221800859	4.99703977884085	-1.25076140402539	4.94379340602842	-1.25076140402539	1.96410122784251	-1.25076140402539	-1.25076140402539	4.95808621341599	7.18744302750201	-1.25076140402539	5.92562646673993	4.65756026284505	-1.25076140402539	4.4789468114618	3.1045666753551	-1.25076140402539	6.07296318697951	-1.25076140402539	4.81777906244699	4.91564982199099	-1.25076140402539	7.19725221800859	7.19725221800859	7.19725221800859	3.85562852665908	7.19725221800859	-1.25076140402539	6.49533501024088	5.62948009279133	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	5.64910465328632	-1.25076140402539	4.70883368476532	1.8577796430704	-1.25076140402539	4.56624256659964	-1.25076140402539	-1.25076140402539	6.24324952376085	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	3.42630385937235	6.15172983848028	7.19725221800859	-1.25076140402539	-1.25076140402539	-1.25076140402539	5.25155683614013
Ano7	ENSMUSG00000034107	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539
Ano8	ENSMUSG00000034863	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	0.736065009092886	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.41804123804228	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	1.42050437110782	1.73759694304007	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	1.73759694304007	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.61773486362053	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	1.55184850687803
Ano9	ENSMUSG00000054662	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539	-1.25076140402539
