Probeset WT-miRNA - Sample ID:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
miR-107	6	131	285	8	6	31	1205	9	488	175	242	12	1	2	914	37	553	86	19	18	3693	1	4	2
miR-10a-3p	0	0	6	0	2	0	7	12	13	4	3	1	0	0	13	5	3	1	1	0	8	0	12	9
miR-10a-5p	0	16	20	2	0	0	158	3	12	14	12	0	0	0	102	9	69	6	5	4	142	0	2	7
miR-10b-3p	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	30	0	2	0	0	1	0	0	0
miR-10b-5p	0	4	9	3	1	7	86	3	16	7	9	4	1	0	52	22	42	1	4	6	341	0	1	0
miR-1178-3p	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	8	0	1	2	0	2	0	0	1
miR-1178-5p	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	57	0	0	1	1	4	0	9	3
miR-1179	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	18	1	0	0	2	4	0	0	0
miR-1180-3p	0	1	0	0	0	0	14	3	0	5	3	0	0	0	12	15	6	0	0	0	30	0	3	1
miR-1180-5p	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	15	0	0	0	0	0	0	4	3
miR-1181	4	37	39	61	55	2	259	523	210	49	52	83	0	0	47	2159	29	34	123	169	113	0	1338	2249
miR-1182	0	2	1	0	0	0	2	2	0	0	2	1	0	0	1	40	0	0	1	3	5	0	2	0
miR-1183	0	0	1	0	0	0	6	0	0	2	1	2	0	0	4	43	1	1	0	0	4	0	1	0
miR-1184	1	0	4	3	0	1	0	4	5	2	3	1	0	0	4	127	4	4	1	0	6	0	1	6
miR-1185-1-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
miR-1185-2-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	0	0
miR-1185-5p	0	2	0	0	1	0	0	3	2	0	0	0	0	0	0	2	2	1	0	1	4	0	5	3
miR-1193	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	35	1	2	0	1	3	0	1	0
miR-1197	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	2	3
miR-1199-3p	0	1	0	0	1	0	1	4	1	0	0	0	0	0	0	61	0	0	3	1	2	0	4	6
miR-1199-5p	0	14	15	7	6	0	27	67	24	10	16	11	0	0	10	734	4	8	7	14	44	0	154	231
miR-1200	0	0	1	0	3	0	1	2	0	0	1	1	0	0	1	74	0	2	1	0	3	0	2	3
miR-1202	0	10	10	3	5	2	23	22	10	24	29	7	0	0	27	1310	12	20	14	10	107	0	14	10
miR-1203	0	3	3	8	32	0	5	46	12	5	7	15	0	0	4	384	2	3	29	37	16	0	58	95
miR-1204	0	1	3	0	2	0	3	0	1	1	3	1	0	0	1	43	0	3	1	0	2	0	0	2
miR-1205	0	0	0	1	0	0	0	1	1	2	0	0	0	0	3	41	1	1	1	1	2	0	6	3
miR-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0
miR-1207-3p	0	0	0	1	0	0	0	4	1	0	1	0	0	0	1	6	0	0	3	0	0	0	2	4
miR-1207-5p	0	31	31	15	11	0	42	1128	18	31	63	11	0	0	54	1430	22	29	25	327	125	0	219	41
miR-1208	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	36	0	2	0	1	0	0	6	5
miR-1224-5p	0	8	3	6	2	0	8	34	3	10	12	2	0	0	5	362	6	4	2	1	31	0	28	7
miR-1225-3p	0	18	27	25	17	2	96	32	14	69	78	17	0	1	67	2553	49	46	37	17	119	0	73	58
miR-1225-5p	0	23	46	5	2	0	33	96	3	21	24	8	0	0	52	223	12	7	11	24	9	0	224	6
miR-122-5p	0	1	0	3	2	0	2	17	265	0	0	1	0	0	2	28	2	2	4	0	2	0	31	11
miR-1226-3p	0	0	1	1	0	0	0	0	1	1	3	1	0	0	2	36	2	1	0	0	5	0	2	2
miR-1227-3p	0	2	2	2	7	1	9	8	5	7	7	5	0	0	12	352	2	4	4	3	23	0	11	6
miR-1227-5p	2	876	551	114	97	9	806	469	99	371	523	69	1	1	668	5888	646	335	165	251	741	0	2484	556
miR-1228-3p	0	6	6	7	9	0	234	31	27	20	14	3	0	0	32	1139	10	10	17	8	87	0	91	57
miR-1229-3p	0	10	11	9	5	2	159	31	19	17	26	4	0	0	31	1095	10	6	12	58	56	0	44	56
miR-1229-5p	0	1	3	3	4	1	6	25	1	2	6	3	0	0	4	144	45	2	2	51	13	0	28	7
miR-1231	0	2	3	2	3	0	3	0	1	3	1	0	0	0	1	174	1	2	1	2	17	0	11	6
miR-1233-3p	0	2	0	2	1	0	2	8	6	6	13	1	0	0	5	714	2	4	5	0	49	0	18	41
miR-1234-3p	1	2	2	15	6	0	8	15	13	5	11	2	0	0	12	379	5	4	7	1	9	0	249	46
miR-1236-3p	0	0	1	2	0	0	3	1	0	1	1	3	0	0	2	40	1	0	0	0	4	0	2	3
miR-1236-5p	0	1	11	1	1	0	19	2	0	1	7	0	0	0	24	33	2	2	0	11	4	0	56	1
miR-1237-3p	0	1	0	2	0	0	2	14	10	2	1	0	0	0	2	70	2	2	3	1	12	0	17	13
miR-1237-5p	12	201	489	458	657	1	344	472	99	375	362	467	0	2	637	4021	149	208	515	1347	158	1	4037	179
miR-1238-3p	0	1	1	2	1	0	2	4	5	5	5	1	0	0	4	184	1	4	0	1	19	0	7	6
miR-1238-5p	0	1	3	3	0	0	4	8	1	3	2	1	0	0	3	151	4	1	4	0	18	0	5	11
miR-1243	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	7	1	0	3	0	0	0	0	0
miR-124-3p	1	1	1	703	0	0	4	52	0	1	1	0	0	0	1	92	0	22	0	611	2	1	137	3
miR-1244	0	1	5	5	3	3	38	1	3	11	12	3	1	0	20	140	14	7	4	3	124	0	1	0
miR-1245a	0	3	7	5	8	1	6	119	36	4	2	0	0	0	4	111	4	2	10	12	0	0	172	641
miR-1245b-3p	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	3	0	1	0	0	0	0	0	3
miR-1245b-5p	0	2	0	1	1	0	0	48	21	3	2	3	0	0	3	40	1	1	3	6	0	1	80	299
miR-124-5p	1	0	0	0	0	0	0	3	0	1	0	0	0	0	2	104	1	2	2	0	7	0	0	4
