Probeset WT-miRNA - Sample ID:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
miR-145-5p	0	0	1	17	29	0	2	2	52	2	1	13	0	0	1	26	1	0	21	35	2	0	13	7
miR-1468-3p	0	1	1	0	0	0	1	3	0	0	1	0	0	0	1	28	1	1	0	1	0	0	1	4
miR-1468-5p	0	2	0	0	1	0	2	1	0	1	1	1	0	0	1	39	1	2	0	0	10	0	2	2
miR-1469	0	8	17	6	18	0	11	123	91	10	23	10	0	0	22	710	9	7	19	19	18	0	1458	910
miR-146a-3p	0	0	0	0	1	0	3	3	1	4	0	1	0	0	1	26	2	2	1	0	2	0	3	5
miR-146a-5p	1	0	11	0	0	0	10	5	526	3	8	1	0	0	22	11	0	0	1	0	20	0	1	0
miR-146b-3p	0	0	3	1	2	0	1	3	0	5	9	1	0	0	6	116	3	4	7	0	9	0	3	3
miR-146b-5p	1	7	16	2	2	1	47	2	16	7	10	1	0	0	55	13	21	12	0	1	72	0	3	1
miR-1470	2	59	38	49	31	8	1858	189	113	129	126	61	0	1	71	3593	107	73	62	51	282	1	1231	453
miR-1471	0	0	3	0	0	0	4	12	2	1	7	0	0	0	4	187	4	2	4	1	6	0	11	8
miR-147a	0	1	1	0	1	0	1	1	0	0	3	0	0	0	3	33	0	2	0	1	13	0	2	0
miR-147b	0	1	1	1	1	0	3	3	1	1	4	0	0	0	6	97	0	0	0	0	74	0	15	3
miR-148a-3p	1	190	522	63	60	50	1413	56	105	324	413	111	3	5	1414	25	625	196	157	145	4517	3	4	4
miR-148a-5p	5	96	165	172	242	1	97	1681	642	91	95	158	1	1	113	1141	79	74	251	365	49	0	1972	3757
miR-148b-3p	0	44	139	12	11	9	398	5	243	77	85	15	2	0	447	26	154	43	26	28	1319	1	0	0
miR-149-3p	10	1098	2343	450	311	4	562	2888	198	2215	2026	917	3	1	1565	6360	70	1295	951	784	209	1	5840	535
miR-149-5p	0	27	52	1	1	11	165	1	1	37	45	3	1	1	133	38	51	27	7	0	1030	0	2	2
miR-150-3p	0	4	8	0	0	0	2	1	3	6	7	1	0	0	7	110	0	5	1	7	13	0	9	2
miR-150-5p	3	0	1	0	1	0	2	0	121	1	0	0	0	0	1	11	1	1	3	0	17	0	3	1
miR-151a-3p	1	55	122	10	5	11	380	15	81	88	95	10	1	1	297	113	162	44	12	5	1001	1	27	20
miR-152-3p	0	51	128	18	15	7	355	4	67	70	129	17	1	1	367	23	227	47	33	20	816	1	3	2
miR-152-5p	2	3	1	6	11	0	4	142	62	5	4	6	0	0	3	155	2	2	4	5	2	0	303	769
miR-153-3p	0	1	0	1	4	0	2	0	1	0	2	2	0	0	0	7	1	0	3	5	3	0	1	1
miR-153-5p	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	23	0	0	0	0	1	0	0	0
miR-1537-3p	0	1	1	0	0	1	8	2	5	0	1	0	0	0	2	7	3	0	0	0	32	0	0	0
miR-1537-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
miR-1538	0	6	3	5	5	0	5	7	3	12	15	4	0	0	6	665	6	7	11	1	21	0	12	15
miR-1539	0	0	0	1	0	0	2	3	4	4	1	0	0	0	3	90	1	4	4	4	7	0	17	32
miR-154-3p	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	4	4	0	0	2	3	0	0	0
miR-154-5p	0	0	0	0	0	0	1	0	11	1	0	1	0	0	1	15	0	0	4	1	16	0	0	0
miR-155-3p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0
miR-155-5p	0	21	72	2	0	0	352	1	2	33	43	1	0	0	309	5	159	17	1	4	28	0	0	1
miR-1587	0	3	2	2	3	0	7	3	1	11	13	0	0	0	13	558	5	8	5	1	25	0	22	5
miR-15a-3p	0	1	3	1	0	0	9	3	0	3	0	0	0	0	5	29	4	1	0	0	26	0	7	6
miR-15a-5p	5	146	490	14	16	29	1875	20	409	173	308	15	0	2	1677	17	516	111	33	30	4168	1	5	1
miR-15b-3p	0	5	29	1	2	1	44	1	2	11	7	0	0	0	38	37	15	3	3	1	87	0	2	5
miR-15b-5p	9	335	982	37	15	94	4116	33	590	491	623	58	6	7	3473	15	1738	240	66	76	9755	9	8	4
miR-16-1-3p	0	2	5	0	1	0	11	3	1	3	2	1	0	0	8	20	4	0	2	2	13	0	5	4
miR-16-5p	46	1757	3558	183	72	171	12129	75	1282	2569	3047	282	16	12	10326	52	5845	1623	389	281	18886	12	40	30
miR-17-3p	1	47	87	0	2	2	340	3	20	57	78	1	0	0	291	28	176	37	7	3	330	0	3	14
miR-17-5p	4	459	930	33	8	23	3301	10	211	628	859	41	1	1	2866	24	1916	374	80	75	1941	3	14	10
miR-181a-2-3p	0	3	4	0	0	0	16	2	4	7	8	3	0	0	15	15	19	4	3	0	29	0	13	12
miR-181a-3p	0	5	6	0	1	0	24	2	7	2	5	1	0	0	19	18	21	0	0	0	22	0	2	2
miR-181a-5p	3	263	773	28	8	21	2709	4	256	409	579	23	2	1	2521	38	1120	249	33	42	1865	1	5	3
miR-181b-3p	1	0	3	0	0	0	2	7	6	1	0	0	0	0	3	19	1	1	1	0	2	0	9	6
miR-181b-5p	1	115	284	11	7	3	991	2	27	199	251	15	1	0	999	39	332	128	20	12	405	0	2	1
miR-181c-3p	0	1	1	2	0	0	11	0	1	1	1	1	0	0	7	18	4	1	3	0	5	0	4	2
miR-181c-5p	0	21	71	1	2	0	282	19	31	24	30	6	0	0	197	27	65	14	4	10	110	0	41	69
miR-181d-3p	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	1	1	0	0	0
miR-181d-5p	0	60	164	6	1	1	547	1	3	70	88	3	1	2	471	20	152	39	9	9	177	0	0	0
miR-182-3p	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	9	0	0	0	0	4	0	0	0
miR-182-5p	0	27	112	3	3	6	474	0	2	53	78	3	0	0	354	15	200	20	2	9	685	1	2	0
miR-183-3p	0	0	0	1	0	0	2	0	0	1	2	0	0	0	2	20	0	0	1	0	4	0	1	1
miR-183-5p	0	23	41	1	0	4	194	1	1	34	52	5	0	0	183	11	111	13	5	4	342	0	0	3
miR-184	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	26	0	0	0	0	131	0	0	0
miR-185-3p	0	0	0	1	0	0	2	1	0	2	1	0	0	0	2	58	1	0	0	0	4	0	5	1
miR-185-5p	4	7	38	0	1	3	107	2	182	28	59	3	0	0	115	20	63	11	4	3	441	1	31	4
miR-186-3p	0	0	0	0	0	0	2	0	2	2	2	0	0	0	4	15	2	0	0	0	0	0	0	1
miR-186-5p	0	74	121	6	9	4	498	0	32	71	98	8	1	1	329	7	188	44	9	29	494	1	2	1
miR-187-3p	0	0	3	1	2	0	14	13	11	2	1	1	0	0	16	51	4	1	4	3	14	0	36	32
miR-187-5p	0	0	1	0	0	0	1	8	3	2	2	0	0	0	3	41	3	2	1	3	7	0	9	21
miR-188-3p	0	0	1	0	0	1	1	0	2	1	0	0	0	0	1	49	2	0	1	0	8	0	0	3
miR-188-5p	0	2	5	0	1	0	20	0	5	5	3	0	0	0	16	36	8	3	0	0	23	0	6	0
miR-18a-3p	0	4	6	0	0	0	18	3	7	7	10	0	0	0	14	35	8	10	1	1	38	0	6	8
miR-18a-5p	0	40	129	4	1	3	388	1	23	83	109	0	1	0	395	11	142	34	4	13	272	0	0	0
miR-18b-3p	0	0	2	2	0	0	4	1	1	4	6	1	0	0	1	30	3	3	0	0	4	0	2	2
miR-18b-5p	1	12	33	1	0	0	178	0	5	30	49	0	0	0	149	17	38	21	0	3	88	0	0	2
miR-1908-5p	0	2	7	0	2	0	8	79	12	5	4	1	0	0	11	531	2	1	2	7	6	0	187	73
miR-1909-3p	0	10	6	4	2	1	11	9	6	11	12	28	0	0	13	590	6	8	12	2	19	0	26	21
miR-1909-5p	0	0	5	2	3	0	7	10	10	3	3	0	0	0	0	127	2	1	3	2	7	0	25	34
miR-190a-3p	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	13
miR-190a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	2
miR-190b	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0
miR-1910-3p	0	6	5	3	1	0	18	6	9	1	6	3	0	0	16	184	9	2	0	8	35	0	85	13
miR-1910-5p	0	8	4	3	1	0	21	14	5	5	14	1	0	0	9	448	3	6	8	4	40	0	15	21
miR-1911-3p	0	0	0	2	1	0	1	7	2	4	1	1	0	0	1	69	0	2	3	2	10	0	4	6
miR-1911-5p	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	20	1	2	1	0	0	0	0	2
miR-1912	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	29	0	2	1	0	1	0	1	1
miR-1913	1	8	16	11	9	3	30	6	6	23	38	6	0	0	33	1262	8	14	26	7	88	0	19	19
miR-191-3p	0	0	0	3	1	0	0	6	7	0	1	0	0	0	2	18	0	0	1	21	11	0	14	19
miR-1914-3p	0	3	110	3	1	0	12	49	3	7	7	305	0	0	165	113	3	2	4	79	8	0	43	4
miR-1914-5p	0	5	20	9	7	1	36	12	11	17	36	6	0	0	28	1427	19	11	18	6	54	0	27	13
miR-1915-3p	3	30	85	97	207	1	89	53	316	57	89	108	0	1	78	1612	309	30	206	268	132	0	1177	137
miR-1915-5p	0	1	2	0	1	0	4	3	2	1	2	1	0	0	2	125	3	1	3	2	5	0	5	10
miR-191-5p	3	108	258	11	13	21	942	6	829	143	205	16	2	4	745	64	521	91	21	27	3338	5	4	7
miR-192-3p	0	1	0	0	0	0	2	2	1	3	2	0	0	1	1	24	1	1	0	1	7	0	10	1
miR-192-5p	0	10	28	0	2	0	83	3	32	32	31	2	0	0	66	10	25	16	5	3	202	0	2	4
miR-193a-3p	0	79	180	20	9	5	430	2	4	175	201	27	0	0	473	13	196	71	38	16	562	1	30	293
miR-193a-5p	0	6	13	3	0	0	27	3	4	12	12	0	0	0	20	17	19	4	1	3	49	0	2	0
miR-193b-3p	1	150	290	33	13	37	719	17	6	213	282	30	3	4	709	85	198	97	76	24	4420	5	100	29
miR-193b-5p	0	3	3	1	1	0	6	7	1	4	3	2	0	0	2	53	4	3	2	1	50	0	32	7
miR-194-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	29	0	0	1	0	4	0	0	0
miR-194-5p	0	7	33	0	1	7	157	1	7	11	13	0	0	0	117	46	41	8	1	0	361	0	0	0
miR-195-3p	1	0	1	1	0	0	2	16	14	0	0	2	0	0	0	33	0	1	4	3	5	0	16	23
miR-195-5p	0	6	10	2	9	0	30	11	21	9	8	1	0	0	26	11	14	5	5	14	37	0	13	24
miR-196a-3p	0	0	1	1	0	0	2	5	9	1	0	0	0	0	2	66	1	5	2	1	5	0	29	27
miR-196a-5p	0	4	12	0	0	0	36	0	0	3	15	0	0	0	30	10	18	3	1	1	38	0	0	0
miR-196b-3p	0	0	0	2	1	0	0	6	5	0	1	0	0	0	1	71	0	1	1	2	21	0	27	32
miR-196b-5p	0	1	10	2	0	0	38	0	1	4	5	2	0	1	21	10	14	1	2	6	331	0	0	0
miR-1973	8	2779	1796	815	118	310	1025	7592	4567	716	853	692	34	19	2162	6746	925	290	773	719	30817	13	21	16
miR-197-3p	0	12	27	4	10	6	149	24	74	34	35	12	2	0	63	131	76	22	9	6	502	2	50	34
miR-197-5p	0	9	18	39	22	1	12	93	15	10	15	33	0	0	9	297	17	13	57	445	22	0	33	39
miR-1976	0	4	3	4	5	1	12	13	12	16	20	6	0	0	13	679	14	13	10	3	58	0	28	6
miR-198	0	5	14	0	1	0	14	2	1	5	7	5	0	0	34	51	6	4	0	6	17	0	12	2
miR-199a-3p	1	1	2	4	11	0	3	6	486	2	1	9	0	0	7	45	3	3	7	27	5	0	7	6
miR-199a-5p	0	0	1	6	5	0	1	1	115	1	3	3	0	0	0	64	0	2	1	14	5	0	8	5
miR-199b-5p	0	0	2	2	5	0	4	2	4	2	0	4	0	0	4	40	2	2	3	5	1	0	4	3
miR-19a-3p	3	215	514	13	5	18	2129	8	198	305	497	20	1	1	1538	23	1059	204	27	44	1328	3	13	15
miR-19a-5p	0	1	0	1	0	0	0	7	4	0	2	1	0	0	3	8	1	0	0	0	0	0	2	12
miR-19b-1-5p	0	1	2	1	1	0	10	7	8	4	3	1	0	0	8	20	5	1	1	0	13	0	8	20
miR-19b-2-5p	0	0	0	0	2	0	0	3	3	1	0	0	0	0	1	36	0	0	1	0	2	0	2	4
miR-19b-3p	4	977	2137	60	32	33	7479	10	565	1334	1924	64	4	9	6132	68	4637	785	139	151	4489	5	14	5
miR-200a-3p	0	109	466	14	15	132	2104	20	0	221	349	12	16	20	1783	18	711	128	20	45	14885	8	9	7
miR-200a-5p	0	1	5	1	1	0	13	7	6	2	8	0	0	0	16	30	15	0	2	0	117	0	13	5
miR-200b-3p	0	175	470	12	21	85	1979	49	2	180	284	15	11	4	1563	14	949	94	31	31	10108	6	8	3
miR-200b-5p	0	1	9	0	1	5	37	0	1	6	10	1	1	0	29	40	22	1	0	0	279	0	2	1
miR-200c-3p	2	444	1935	10	17	152	8102	56	6	653	1046	31	16	10	6144	31	3280	398	27	58	13561	9	31	21
miR-200c-5p	0	1	1	1	0	0	9	3	0	2	2	0	0	1	3	20	3	1	1	0	27	0	0	1
miR-202-3p	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	0	2	2
miR-202-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
miR-203b-3p	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	34	0	0	0	0	3	0	0	2
miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	4	5
miR-204-3p	0	8	11	3	0	0	15	21	4	2	7	1	0	0	18	130	7	3	2	26	30	0	41	27
miR-204-5p	0	0	1	6	7	0	0	0	0	0	0	1	0	0	1	15	0	0	4	19	1	0	0	0
miR-2052	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
miR-2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0
miR-205-3p	0	12	13	3	1	2	47	2	0	6	19	3	0	0	32	47	28	2	3	3	80	0	1	1
miR-2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-205-5p	8	9535	15682	1601	684	367	51125	509	24	11621	14414	2248	49	24	45647	129	30230	6141	3763	1873	45081	16	105	45
miR-206	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	36	0	0	0	0	2	0	0	1
miR-208a-3p	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	25	1	0	0	0	1	0	7	9
miR-208a-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0
miR-208b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1
miR-208b-5p	0	0	0	0	0	0	0	4	3	0	1	0	0	0	2	35	0	0	0	0	2	0	9	8
miR-20a-3p	0	4	7	0	0	0	27	3	4	1	7	0	0	0	31	11	41	2	0	1	29	0	2	8
miR-20a-5p	2	388	777	40	17	18	2827	8	217	569	781	40	5	2	2525	3	1551	287	86	72	1280	1	3	2
miR-20b-3p	0	1	0	0	0	0	7	0	0	2	5	1	0	0	5	26	3	1	1	0	1	0	0	0
miR-20b-5p	2	260	453	19	6	11	1951	5	30	274	395	24	0	2	1624	23	987	142	41	60	796	1	3	1
miR-210-3p	2	84	99	19	8	95	236	79	26	43	91	5	4	3	203	118	195	30	29	34	11045	7	70	41
miR-210-5p	0	8	5	6	12	3	236	31	24	20	33	7	0	0	28	1112	7	19	28	6	122	0	111	67
miR-2110	0	2	3	0	0	0	5	8	7	2	7	1	0	0	4	22	2	3	2	2	52	0	15	8
miR-2113	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	6	0	1	0
miR-211-3p	0	9	9	28	2	0	10	25	1	4	9	7	0	0	22	162	6	6	11	74	31	0	27	6
miR-2114-3p	0	0	0	2	0	0	0	4	0	0	0	2	0	0	1	44	0	2	0	5	8	0	4	7
miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	11	0	4	8
miR-2115-3p	0	1	1	0	0	0	1	2	2	1	0	0	0	0	0	22	0	1	0	1	3	0	4	7
miR-2115-5p	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	21	1	0	0	0	4	0	2	3
miR-211-5p	0	0	0	1	1	0	0	0	2	1	3	1	0	0	1	27	1	0	0	0	0	0	1	1
miR-2116-3p	0	2	5	4	4	0	8	27	42	5	4	3	0	0	5	118	7	3	8	4	19	0	64	48
miR-2116-5p	2	0	0	1	2	0	7	10	18	0	3	0	0	0	0	20	4	2	1	1	5	0	20	24
miR-2117	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	18	0	0	3	1	3	0	0	0
miR-212-3p	1	5	11	1	5	0	24	9	4	11	10	1	0	0	43	11	25	6	7	3	15	0	25	28
miR-212-5p	0	1	2	0	2	0	6	7	1	4	0	2	0	0	7	22	1	0	2	1	4	0	10	7
miR-21-3p	1	26	96	1	2	6	258	8	17	62	66	3	0	0	205	64	83	41	1	2	920	1	31	25
miR-214-5p	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	18	0	0	2	0	4	0	0	1
miR-215-3p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
miR-215-5p	0	0	1	0	0	0	2	2	6	0	0	0	0	0	1	10	1	0	0	0	5	0	6	5
miR-21-5p	17	4786	14439	75	60	483	55332	180	1532	5995	9118	104	35	41	44035	46	25799	3064	245	453	49549	16	62	20
miR-216a-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	23	0	0	1	0	1	0	0	2
miR-216a-5p	0	0	1	0	3	0	0	1	0	0	1	4	0	0	0	21	0	1	3	3	1	0	6	5
miR-216b-3p	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	20	0	1	0	1	0	0	0	3
miR-216b-5p	0	0	2	4	6	0	2	5	6	0	0	2	0	0	0	35	0	2	6	4	1	0	17	11
miR-217	0	0	0	1	0	0	1	3	12	0	0	1	0	0	0	11	1	2	0	0	0	0	15	29
miR-218-1-3p	0	0	1	0	0	0	0	3	3	0	0	1	0	0	2	27	2	1	1	1	1	0	4	17
miR-218-2-3p	0	0	0	0	2	0	0	3	2	1	0	0	0	0	0	29	0	0	1	0	1	0	7	5
miR-218-5p	0	2	5	2	2	0	28	0	0	4	9	1	0	0	35	11	7	2	0	3	39	0	0	1
miR-219a-1-3p	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	9	0	1	1	0	1	0	0	1
miR-219a-2-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	14	0	0	1	0	0	0	1	2
miR-219b-3p	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	53	1	0	0	0	3	0	1	0
miR-221-3p	0	448	1391	62	27	77	4963	70	308	904	1236	40	12	10	3836	41	1872	466	65	99	10151	7	17	8
miR-221-5p	0	10	14	2	1	0	83	0	2	20	18	2	0	0	62	8	25	9	5	6	128	0	4	3
miR-222-3p	2	383	1394	38	12	95	4595	16	106	716	900	24	4	9	3602	32	2373	486	35	75	12691	4	38	9
miR-222-5p	0	2	9	0	0	0	7	3	4	2	5	1	0	0	17	10	0	7	0	2	54	0	10	11
miR-223-3p	3	0	0	1	0	0	1	31	1454	0	0	1	0	1	1	42	0	0	1	2	95	0	34	3
miR-223-5p	0	2	0	0	0	0	0	1	4	0	0	0	0	0	1	24	0	0	0	0	7	0	8	3
miR-22-3p	21	479	1985	139	72	247	6082	57	1039	1394	1997	42	28	20	5071	37	1144	787	84	276	32844	19	219	46
miR-224-3p	0	1	1	0	0	2	1	2	3	0	0	0	0	0	5	32	0	1	1	1	96	0	0	4
miR-224-5p	0	59	112	19	5	37	380	9	15	72	102	18	2	6	317	28	149	32	24	30	4191	4	1	1
miR-22-5p	0	15	75	4	4	6	263	15	49	31	82	3	0	2	220	18	101	28	3	11	929	0	14	18
miR-2276-3p	0	1	1	0	2	0	0	6	6	2	1	0	0	0	0	31	1	1	0	1	3	0	6	3
miR-2276-5p	0	1	1	0	1	0	1	10	5	0	2	0	0	0	1	39	1	2	1	2	9	0	7	15
miR-2277-3p	0	0	0	1	0	0	1	14	14	1	0	2	0	0	2	70	2	1	3	0	3	0	187	767
miR-2277-5p	0	1	2	7	6	0	4	79	9	1	4	3	0	0	5	94	0	2	6	10	1	0	138	304
miR-2278	0	1	3	0	0	0	4	3	1	3	7	1	0	0	4	132	4	7	1	0	15	0	1	2
miR-2355-3p	0	1	2	1	1	1	2	1	1	4	0	0	0	0	2	30	1	1	1	0	7	0	0	0
miR-2355-5p	0	0	5	1	0	0	20	0	8	2	4	1	0	0	15	15	5	3	0	2	44	0	0	1
miR-2392	0	2	3	2	0	0	1	33	0	4	1	1	0	0	1	57	1	1	0	19	2	0	89	7
miR-23a-3p	11	2543	5488	592	276	246	19254	914	2915	3594	4614	981	27	23	17332	55	9731	2119	1401	387	29284	16	58	36
miR-23a-5p	0	1	3	0	0	0	6	8	1	0	6	1	0	0	4	33	1	2	0	4	20	0	26	1
miR-23b-3p	5	1536	3461	300	171	223	13424	542	1623	1955	2688	490	32	19	11416	36	5652	1161	778	270	24673	19	21	26
miR-23b-5p	0	0	3	0	0	0	1	1	1	0	2	0	0	0	3	17	0	0	1	2	5	0	2	2
miR-23c	0	1	14	2	1	0	93	31	37	2	3	3	1	0	34	61	28	3	4	2	222	0	79	84
miR-24-2-5p	0	9	19	2	0	2	108	2	7	10	20	1	1	1	71	14	70	8	2	1	177	0	1	0
miR-24-3p	3	1010	2387	187	71	104	7384	17	239	1598	2435	86	9	11	7621	61	1164	838	172	374	15087	9	13	14
miR-2467-3p	0	9	5	2	3	0	13	4	3	9	15	2	0	0	19	390	6	4	8	35	31	0	25	19
miR-2467-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	2
miR-25-3p	10	174	511	9	3	10	1673	22	165	359	513	14	0	0	1474	32	822	192	10	19	1730	0	9	10
miR-25-5p	0	0	0	0	0	0	1	2	2	1	0	1	0	0	2	21	3	0	1	1	5	0	4	3
miR-2681-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0
miR-2681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	1	2	0	2	1
miR-2682-3p	0	0	0	2	1	0	3	13	6	4	2	0	0	0	0	26	0	3	2	9	7	0	11	17
miR-2682-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	16	0	0	0	0	0	0	8	3
miR-26a-1-3p	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	9	1	0	0	0	3	0	1	0
miR-26a-2-3p	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	1	0	0	5	6
miR-26a-5p	5	612	1345	110	104	92	4685	17	1184	741	1063	119	12	9	4082	37	2593	380	184	256	11371	4	19	13
miR-26b-3p	0	1	3	0	0	1	4	0	2	0	2	1	0	0	6	22	1	0	2	0	36	0	1	1
miR-26b-5p	1	201	442	29	27	47	1587	1	143	186	284	34	7	1	1309	7	823	123	83	128	4529	3	0	0
miR-27a-3p	11	2200	8786	118	60	385	29153	145	743	5012	7539	142	34	40	26831	69	12238	3382	238	268	42881	22	62	21
miR-27a-5p	0	1	2	0	0	0	3	0	1	1	3	0	0	0	3	17	0	1	0	0	44	0	33	0
miR-27b-3p	2	442	1551	15	19	102	6277	76	163	821	1156	23	10	3	5133	25	2064	458	34	67	11561	7	17	10
miR-27b-5p	0	2	3	0	0	0	8	0	0	3	2	0	0	0	11	27	6	2	0	0	14	0	0	1
miR-28-5p	0	30	41	2	0	9	144	6	25	21	31	3	0	0	159	44	77	18	0	2	424	0	6	13
miR-2861	3	508	700	352	535	6	623	1566	178	383	661	303	3	5	950	27447	752	229	410	1212	988	3	16870	257
miR-2909	0	0	2	1	0	0	1	1	2	3	1	1	0	0	1	51	1	0	2	0	2	0	0	0
miR-296-3p	0	2	6	1	1	0	7	26	0	2	7	2	0	0	5	91	1	4	1	43	4	0	27	1
miR-296-5p	0	5	17	2	1	0	59	5	4	11	13	0	0	0	29	45	18	5	2	0	14	0	5	2
miR-297	0	3	1	1	5	0	7	5	6	1	6	2	0	0	6	233	3	9	5	2	8	0	11	5
miR-298	0	0	0	1	0	0	1	6	1	1	0	2	0	0	1	34	1	0	1	0	2	0	6	7
miR-299-3p	0	0	1	1	1	0	1	10	2	0	0	1	0	0	0	9	0	0	2	2	8	0	17	19
miR-299-5p	0	1	2	1	1	0	2	5	6	1	0	0	0	0	1	15	1	0	3	3	10	0	12	12
miR-29a-3p	0	294	1187	81	65	62	3917	13	48	713	1200	55	5	2	3832	34	1437	395	76	167	7343	13	9	2
miR-29a-5p	0	1	4	0	0	1	18	0	0	1	5	2	0	0	8	29	9	0	3	2	17	0	1	2
miR-29b-1-5p	0	1	1	1	2	0	4	1	0	3	4	0	0	0	5	15	4	0	1	0	6	0	1	3
miR-29b-2-5p	0	0	2	0	2	1	9	1	2	0	4	0	0	0	4	27	5	2	3	1	50	1	0	0
miR-29b-3p	0	378	1141	47	49	69	4980	5	37	357	605	35	4	7	4433	49	1964	176	59	168	7345	4	2	4
miR-29c-3p	0	102	299	18	38	48	940	12	36	191	254	12	1	4	902	20	298	77	34	65	4925	6	0	2
miR-29c-5p	0	3	2	3	0	0	16	0	5	1	5	0	0	0	9	14	3	1	5	3	128	0	2	2
miR-300	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	1	0	0	0	3
miR-301a-3p	1	98	179	4	1	4	621	10	26	97	147	1	0	0	551	14	371	55	5	0	303	0	5	4
miR-301a-5p	0	1	3	0	1	0	6	0	0	2	5	0	0	0	11	14	4	0	1	0	4	0	3	2
miR-301b	0	11	13	1	0	0	57	0	1	13	6	0	0	0	44	23	32	8	1	1	49	0	1	0
miR-302a-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	9	0	0	1	1	2	0	3	2
miR-302a-5p	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	9	0	2	0	0	2	0	3	1
miR-302b-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0
miR-302b-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	1	0
miR-302c-3p	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	14	1	0	0	0	2	0	1	0
miR-302c-5p	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	10	0	0	1	0	3	0	0	0
miR-302d-3p	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	7	0	2	1	0	2	0	4	0
miR-302d-5p	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	16	0	0	1	1	1	0	5	3
miR-302e	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
miR-302f	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0
miR-3064-3p	0	2	1	1	0	0	2	1	1	2	1	0	0	0	0	12	0	4	0	0	5	0	3	4
miR-3064-5p	0	0	3	2	2	1	13	1	0	5	8	0	0	0	10	114	2	4	1	0	47	0	2	0
