"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p.iso.0.0.0.10CA"	7.94293479625659	6.9213342426919	7.89933341074286	6.79914704824976	8.49512375212314	6.74488769814281	8.4748646064456	7.60051646299769	7.99748301795442	6.54776614784112	7.64182717573156	6.69489925108708
"cel-let-7-5p.iso.0.0.0.15TG"	6.63174132559052	0.504461661271268	6.51611902983809	5.2570910661793	7.10257253102415	0.698312997781867	7.11878294311566	6.61267613960551	6.89137376571806	0.287647912927453	6.30776820950576	0.250469073815887
"cel-let-7-5p.iso.0.0.0.1AT"	6.21435382887278	-0.422643222906472	6.25086147955513	-0.400867164002153	6.77768788827435	5.18128578026015	6.68853224020667	-0.193081737913152	6.48517404791091	-0.688708267636022	-0.113720803420241	-0.736307193773769
"cel-let-7-5p.iso.0.0.0.1CT"	6.47567683767886	0.419955841281583	6.72474380516395	0.438514603438179	7.02553651330729	5.38482327436945	7.09397234263895	0.619784909393374	6.81845525068171	5.47079690836183	0.690854371804607	5.22217503590089
"cel-let-7-5p.iso.0.d-T.0.0"	8.62033466357862	8.5784748160137	8.40278252765216	8.03468466784058	9.04481627556017	8.1258051106603	8.753251749304	8.9573459476595	8.8865597476436	8.35311802569756	8.05676816025601	8.02438007677084
"cel-let-7-5p.iso.0.u-T.0.0"	8.79450965768416	9.00322384259827	8.72885505747172	8.87049795981753	9.24786783961407	8.98920550107609	9.28131605447734	9.76877566925695	9.08965977085436	8.84667504436506	8.72739909510043	8.63584661765097
"cel-let-7-5p.iso.0.u-TT.u-GT.0"	-2.29065456260735	5.92000646494307	-2.52210717709689	-2.61720839749302	-2.4291857732533	-2.43606003411079	-2.61085204902067	-2.43223499460198	-2.48926664684795	5.10105557636165	-2.36509897782549	-2.94631270259642
"cel-let-7-5p.iso.0.u-T.u-C.0"	8.58509040902482	8.3589833423443	8.38683644857483	7.11594170727349	9.80209047118018	7.72622938970363	8.66957234258219	9.0167690050122	8.5604864461346	7.99565367547644	9.28976669788474	7.08643673158458
"cel-let-7-5p.iso.0.u-T.u-G.0"	-3.34538345422332	-3.66452881767634	-3.57715246656722	-3.64914439151893	5.10137613401628	-3.49285261596753	-3.64431415286958	-3.48905891261987	-3.54520536027648	-3.86905228983645	-3.42175867861436	-3.90936902723922
"cel-let-7-5p.ref.0.0.0.0"	13.0120164923607	11.8751639009556	13.0343064982264	11.6867719409379	13.3988178771576	11.6994734896971	13.458520798778	12.722555699023	13.2464048037558	11.7188026767275	12.8101532018957	11.6906862946323
"cel-lin-4-5p.iso.0.0.0.1AT"	5.61538695678713	5.70583158189695	6.08439918574365	6.21927194985492	5.84765408500998	5.32087635141118	6.72728176985511	6.62787400979144	1.36733344349258	5.34451333163965	5.83008486754838	6.14683193875636
