"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p.ref.0.0.0.0"	9021.19655340102	3285.53055452563	9197.33096688752	2761.96154169587	12593.745115596	2794.69382420711	13254.4078687486	7007.87591289835	11047.7312118313	2845.26319033512	7566.60665125693	2772.0469387052
"cel-lin-4-5p.ref.0.0.0.0"	2701.73107463434	2369.04045247374	3036.98375644677	3863.346270503	3274.32411908346	1552.33541221851	6425.06403954894	6479.9106091278	3704.51487828067	1891.7793809998	3136.86433546682	3930.83215891342
"cel-miR-1020-3p.ref.0.0.0.0"	9.57494769510103	7.7815197344028	30.5489174252363	15.2100246870197	21.0846628880375	2.45041106901106	55.1701726368927	24.6712758771285	10.0393357134978	4.50021856913423	9.7418147064187	6.75222226028997
"cel-miR-1022-5p.ref.0.0.0.0"	165.965760048418	55.3352514446421	173.812806040138	173.57322289893	150.073188791325	74.7375376048373	247.813562336206	303.45669328868	184.054488080792	46.1272403336259	137.777093705065	145.432479452399
"cel-miR-124-3p.ref.0.0.0.0"	7.97912307925086	8.64613303822533	8.42728756558243	18.788854025142	6.20137143765807	2.45041106901106	18.0885811924238	20.9705844955592	3.34644523783259	5.06274589027601	1.39168781520267	16.1014530822299
"cel-miR-1-3p.ref.0.0.0.0"	70666.3056390773	44204.2197712308	169688.702187731	91779.9730834803	92131.2949007109	33747.0612424203	323593.864383747	216892.5876186	107050.552194773	30202.0918721021	41540.4895959846	50368.4616514892
"cel-miR-1-5p.ref.0.0.0.0"	148.411689274066	77.815197344028	142.210477669203	83.2077821113429	159.995383091578	153.150691813191	186.312386281965	236.844248420434	190.747378556457	61.8780053255957	116.901776477024	87.2594876714397
"cel-miR-1817.ref.0.0.0.0"	106.920249261962	28.5322390261436	155.904819963275	30.4200493740394	111.624685877845	19.6032885520885	183.599099103102	51.8096793419698	108.201729356587	13.5006557074027	84.892956727363	29.6058976028099
"cel-miR-1819-3p.ref.0.0.0.0"	46.278913859655	5.1876798229352	50.5637253934946	10.7364880143668	28.5263086132271	12.2520553450553	42.508165802196	17.2698931139899	33.4644523783259	5.06274589027601	20.8753172280401	6.23282054795998
"cel-miR-1820-5p.ref.0.0.0.0"	545.772018620759	310.396176072289	1114.50878054828	484.036667981038	569.285897977011	135.997814330114	774.19127503574	923.939281598462	510.890639642441	187.884125261354	420.289720191207	350.596155822749
"cel-miR-1821.ref.0.0.0.0"	46.278913859655	24.2091725070309	147.477532397692	119.890782827096	66.9748115267072	26.9545217591216	172.745950387647	234.377120832721	63.5824595188191	15.188237670828	58.4508882385122	87.7788893837697
"cel-miR-1822-3p.ref.0.0.0.0"	9.57494769510103	61.3875445713998	51.6171363391924	79.6289527732207	21.0846628880375	7.35123320703317	56.979030756135	129.524198354925	13.3857809513303	26.4387840936636	12.525190336824	96.0893167810496
"cel-miR-1829a-3p.ref.0.0.0.0"	35.1081415487038	65.7106110905125	64.258067687566	143.153173524891	90.5400229898079	25.7293162246161	97.6783384390886	302.223129494824	43.5037880918236	63.565587289021	33.4005075648641	157.898120548319
"cel-miR-1829a-5p.ref.0.0.0.0"	173.944883127669	172.922660764507	281.260722501314	407.98654454594	176.118948829489	180.105213572313	333.734323000219	678.460086621034	207.47960474562	133.881502431743	84.892956727363	292.423164041789
