"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 873 4 0 0 0 0 873 6 0 0 0 0 873 49 2 0 0 0 "TSPAN6"
"ENSG00000000419" 1559 26 0 3 0 0 1559 22 3 3 0 0 1559 51 3 0 0 0 "DPM1"
"ENSG00000000971" 2121 14 0 0 0 0 2121 4 0 0 0 0 2121 21 0 0 0 0 "CFH"
"ENSG00000001036" 1518 15 0 0 0 0 1518 19 3 3 0 0 1518 80 5 2 0 0 "FUCA2"
"ENSG00000001084" 1239 23 3 2 0 0 1239 7 0 0 0 0 1239 33 0 0 0 0 "GCLC"
"ENSG00000001497" 786 6 2 0 0 0 786 2 0 0 0 0 786 46 0 0 0 0 "LAS1L"
"ENSG00000001629" 1845 15 2 0 0 0 1845 6 0 0 0 0 1845 12 0 0 0 0 "ANKIB1"
"ENSG00000002549" 937 19 0 3 0 0 937 16 3 0 0 0 937 56 0 0 0 0 "LAP3"
"ENSG00000003096" 1226 24 0 0 2 0 1226 15 0 2 0 0 1226 63 0 3 0 0 "KLHL13"
"ENSG00000003436" 5194 44 2 5 4 0 5194 22 0 2 0 0 5194 103 2 0 0 0 "TFPI"
"ENSG00000003756" 1234 20 3 4 2 0 1234 2 0 0 0 0 1234 11 2 0 0 0 "RBM5"
"ENSG00000004142" 1303 18 0 3 0 0 1303 16 4 2 2 0 1303 57 3 0 0 0 "POLDIP2"
"ENSG00000004455" 1903 12 0 0 0 0 1903 19 2 3 0 0 1903 140 0 0 0 2 "AK2"
"ENSG00000004478" 2030 14 0 0 0 0 2030 3 0 0 0 0 2030 15 0 0 0 0 "FKBP4"
"ENSG00000004487" 2265 29 0 5 0 0 2265 9 0 0 0 0 2265 58 0 0 0 0 "KDM1A"
"ENSG00000004534" 630 18 0 3 0 0 630 8 2 2 0 0 630 27 0 0 0 0 "RBM6"
"ENSG00000004700" 1618 16 0 0 0 0 1618 6 0 2 0 0 1618 21 0 0 0 0 "RECQL"
"ENSG00000004779" 2186 56 20 8 5 0 2186 26 9 8 0 0 2186 409 0 0 0 3 "NDUFAB1"
"ENSG00000004799" 1616 15 0 2 3 0 1616 11 0 0 0 0 1616 21 0 0 0 0 "PDK4"
"ENSG00000004864" 1260 12 0 4 0 0 1260 11 0 3 0 0 1260 37 2 0 0 0 "SLC25A13"
"ENSG00000004897" 2676 28 0 8 2 0 2676 17 3 7 0 0 2676 41 3 0 0 0 "CDC27"
"ENSG00000004961" 686 14 0 0 0 0 686 10 3 0 0 0 686 31 0 0 0 0 "HCCS"
"ENSG00000005022" 3389 44 9 7 0 0 3389 14 5 5 0 0 3389 395 10 3 2 2 "SLC25A5"
