"V1" "counts" "type" "size"
"ENSG00000004779" 213 "exp" "-pA<15"
"ENSG00000005022" 333 "exp" "-pA<15"
"ENSG00000008018" 229 "exp" "-pA<15"
"ENSG00000008394" 285 "exp" "-pA<15"
"ENSG00000008988" 572 "exp" "-pA<15"
"ENSG00000009307" 1284 "exp" "-pA<15"
"ENSG00000011426" 537 "exp" "-pA<15"
"ENSG00000014641" 381 "exp" "-pA<15"
"ENSG00000018510" 674 "exp" "-pA<15"
"ENSG00000021826" 1432 "exp" "-pA<15"
"ENSG00000023734" 356 "exp" "-pA<15"
"ENSG00000026025" 1080 "exp" "-pA<15"
"ENSG00000034510" 1298 "exp" "-pA<15"
"ENSG00000041357" 395 "exp" "-pA<15"
"ENSG00000044115" 654 "exp" "-pA<15"
"ENSG00000055044" 359 "exp" "-pA<15"
"ENSG00000057608" 493 "exp" "-pA<15"
"ENSG00000061676" 619 "exp" "-pA<15"
"ENSG00000062716" 1377 "exp" "-pA<15"
"ENSG00000063177" 372 "exp" "-pA<15"
"ENSG00000064042" 574 "exp" "-pA<15"
"ENSG00000065150" 857 "exp" "-pA<15"
"ENSG00000065978" 349 "exp" "-pA<15"
"ENSG00000066279" 1064 "exp" "-pA<15"
"ENSG00000067225" 1921 "exp" "-pA<15"
"ENSG00000067560" 731 "exp" "-pA<15"
"ENSG00000069275" 861 "exp" "-pA<15"
"ENSG00000071082" 1146 "exp" "-pA<15"
"ENSG00000072210" 415 "exp" "-pA<15"
"ENSG00000072274" 794 "exp" "-pA<15"
"ENSG00000073712" 570 "exp" "-pA<15"
"ENSG00000074695" 856 "exp" "-pA<15"
"ENSG00000074800" 2096 "exp" "-pA<15"
"ENSG00000075142" 333 "exp" "-pA<15"
"ENSG00000075223" 818 "exp" "-pA<15"
"ENSG00000075415" 604 "exp" "-pA<15"
"ENSG00000075624" 1637 "exp" "-pA<15"
"ENSG00000077147" 523 "exp" "-pA<15"
"ENSG00000079246" 1281 "exp" "-pA<15"
"ENSG00000080824" 1330 "exp" "-pA<15"
"ENSG00000082898" 776 "exp" "-pA<15"
"ENSG00000083312" 1512 "exp" "-pA<15"
"ENSG00000083845" 388 "exp" "-pA<15"
"ENSG00000083857" 542 "exp" "-pA<15"
"ENSG00000084207" 282 "exp" "-pA<15"
"ENSG00000085063" 1102 "exp" "-pA<15"
"ENSG00000085231" 224 "exp" "-pA<15"
"ENSG00000086061" 873 "exp" "-pA<15"
"ENSG00000087086" 1720 "exp" "-pA<15"
"ENSG00000087302" 275 "exp" "-pA<15"
"ENSG00000087460" 449 "exp" "-pA<15"
"ENSG00000092621" 154 "exp" "-pA<15"
"ENSG00000092841" 673 "exp" "-pA<15"
"ENSG00000099194" 506 "exp" "-pA<15"
"ENSG00000099901" 235 "exp" "-pA<15"
"ENSG00000100097" 300 "exp" "-pA<15"
"ENSG00000100138" 229 "exp" "-pA<15"
"ENSG00000100201" 696 "exp" "-pA<15"
"ENSG00000100567" 223 "exp" "-pA<15"
"ENSG00000100644" 1382 "exp" "-pA<15"
"ENSG00000101132" 153 "exp" "-pA<15"
"ENSG00000101166" 492 "exp" "-pA<15"
"ENSG00000101182" 654 "exp" "-pA<15"
"ENSG00000101558" 389 "exp" "-pA<15"
"ENSG00000101608" 305 "exp" "-pA<15"
"ENSG00000101972" 674 "exp" "-pA<15"
"ENSG00000102024" 1535 "exp" "-pA<15"
"ENSG00000102144" 890 "exp" "-pA<15"
"ENSG00000102317" 361 "exp" "-pA<15"
"ENSG00000103035" 212 "exp" "-pA<15"
"ENSG00000104408" 634 "exp" "-pA<15"
