"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000005022" 266 6 0 0 0 0 266 5 0 0 0 0 266 24 0 0 0 3 "SLC25A5"
"ENSG00000008988" 486 10 0 0 0 0 486 5 0 0 0 0 486 86 0 0 0 0 "SNORD54"
"ENSG00000009307" 976 16 0 0 0 0 976 6 0 0 2 0 976 26 0 2 0 0 "CSDE1"
"ENSG00000010292" 467 9 0 0 0 0 467 2 0 0 0 0 467 20 0 0 0 0 "NCAPD2"
"ENSG00000014641" 269 4 0 0 0 2 269 0 0 0 0 0 269 37 0 0 0 2 "MDH1"
"ENSG00000021826" 1138 26 0 4 0 0 1138 6 0 0 0 0 1138 26 0 0 0 0 "CPS1"
"ENSG00000026025" 805 42 7 13 7 0 805 18 0 6 0 0 805 95 2 2 0 2 "VIM"
"ENSG00000031698" 207 3 0 0 0 0 207 5 0 0 0 0 207 24 0 0 0 0 "SARS"
"ENSG00000034510" 1848 70 0 0 0 4 1848 40 3 0 0 0 1848 428 8 3 0 4 "TMSB10"
"ENSG00000041357" 289 12 0 0 0 0 289 5 2 0 0 0 289 24 0 0 0 0 "PSMA4"
"ENSG00000044115" 665 13 0 0 3 0 665 4 0 0 0 0 665 36 2 0 0 0 "CTNNA1"
"ENSG00000049656" 690 18 0 0 0 0 690 10 0 0 0 0 690 13 0 0 0 0 "CLPTM1L"
"ENSG00000061676" 411 11 0 2 0 0 411 4 0 0 0 0 411 17 0 0 0 0 "NCKAP1"
"ENSG00000062716" 1323 18 0 0 0 0 1323 8 2 0 0 0 1323 17 0 0 0 0 "VMP1"
"ENSG00000063046" 436 11 0 0 0 0 436 3 0 0 0 0 436 17 0 0 0 0 "EIF4B"
"ENSG00000063177" 1081 35 0 0 0 4 1081 20 2 0 0 0 1081 180 5 0 0 4 "RPL18"
"ENSG00000064042" 523 8 0 0 0 2 523 4 0 0 0 0 523 19 0 0 0 0 "LIMCH1"
"ENSG00000065150" 604 12 0 0 0 0 604 4 0 0 0 0 604 26 0 0 0 0 "IPO5"
"ENSG00000065427" 299 8 0 0 0 0 299 8 0 2 0 0 299 16 0 0 0 0 "KARS"
"ENSG00000065518" 103 4 0 0 0 0 103 7 0 0 0 0 103 21 0 0 0 0 "NDUFB4"
"ENSG00000065978" 371 6 0 0 0 0 371 0 0 0 0 0 371 54 2 0 0 0 "YBX1"
"ENSG00000067225" 2867 38 0 0 0 3 2867 13 0 2 0 0 2867 116 4 0 0 0 "PKM"
"ENSG00000067560" 456 9 0 0 0 0 456 5 0 0 0 0 456 20 0 0 0 0 "RHOA"
"ENSG00000069275" 627 13 2 0 0 0 627 3 0 0 0 0 627 19 0 0 0 0 "NUCKS1"
"ENSG00000070756" 320 13 0 4 2 0 320 5 2 0 0 0 320 30 0 0 0 0 "PABPC1"
"ENSG00000071082" 875 28 3 0 0 0 875 29 3 4 0 0 875 150 2 0 0 0 "RPL31"
"ENSG00000073712" 515 14 2 2 0 0 515 15 0 2 0 0 515 16 0 0 0 0 "FERMT2"
"ENSG00000074800" 3911 65 0 0 0 2 3911 42 4 2 4 0 3911 136 4 2 0 0 "ENO1"
"ENSG00000075415" 629 14 0 0 0 0 629 9 3 0 0 0 629 31 2 0 0 0 "SLC25A3"
"ENSG00000075624" 2876 24 0 0 0 2 2876 9 0 0 0 0 2876 72 2 0 0 0 "ACTB"
"ENSG00000079246" 875 25 0 2 0 2 875 15 0 6 3 0 875 38 0 0 0 2 "XRCC5"
"ENSG00000080824" 959 26 0 0 2 0 959 8 0 0 0 0 959 38 0 0 0 0 "HSP90AA1"
"ENSG00000082898" 555 13 2 2 0 0 555 13 0 3 0 0 555 15 0 0 0 0 "XPO1"
