"V1" "counts" "type" "size"
"ENSG00000000003" 873 "exp" "-pA<15"
"ENSG00000000419" 1564 "exp" "-pA<15"
"ENSG00000000971" 2191 "exp" "-pA<15"
"ENSG00000001036" 1534 "exp" "-pA<15"
"ENSG00000001084" 1242 "exp" "-pA<15"
"ENSG00000001497" 786 "exp" "-pA<15"
"ENSG00000001629" 1848 "exp" "-pA<15"
"ENSG00000002549" 975 "exp" "-pA<15"
"ENSG00000003096" 1239 "exp" "-pA<15"
"ENSG00000003436" 5195 "exp" "-pA<15"
"ENSG00000003756" 1238 "exp" "-pA<15"
"ENSG00000003989" 1110 "exp" "-pA<15"
"ENSG00000004142" 1309 "exp" "-pA<15"
"ENSG00000004455" 2421 "exp" "-pA<15"
"ENSG00000004478" 2141 "exp" "-pA<15"
"ENSG00000004487" 2302 "exp" "-pA<15"
"ENSG00000004534" 632 "exp" "-pA<15"
"ENSG00000004700" 1642 "exp" "-pA<15"
"ENSG00000004766" 1152 "exp" "-pA<15"
"ENSG00000004779" 2194 "exp" "-pA<15"
"ENSG00000004799" 1618 "exp" "-pA<15"
"ENSG00000004864" 1270 "exp" "-pA<15"
"ENSG00000004897" 2824 "exp" "-pA<15"
"ENSG00000004961" 689 "exp" "-pA<15"
"ENSG00000005022" 3790 "exp" "-pA<15"
"ENSG00000005059" 489 "exp" "-pA<15"
"ENSG00000005075" 296 "exp" "-pA<15"
"ENSG00000005100" 707 "exp" "-pA<15"
"ENSG00000005175" 998 "exp" "-pA<15"
"ENSG00000005194" 700 "exp" "-pA<15"
"ENSG00000005339" 438 "exp" "-pA<15"
"ENSG00000005436" 628 "exp" "-pA<15"
"ENSG00000005700" 1970 "exp" "-pA<15"
"ENSG00000005801" 578 "exp" "-pA<15"
"ENSG00000005810" 2068 "exp" "-pA<15"
"ENSG00000005812" 2218 "exp" "-pA<15"
"ENSG00000005889" 3641 "exp" "-pA<15"
"ENSG00000005893" 2995 "exp" "-pA<15"
"ENSG00000005955" 921 "exp" "-pA<15"
"ENSG00000006007" 1128 "exp" "-pA<15"
"ENSG00000006015" 111 "exp" "-pA<15"
"ENSG00000006125" 2603 "exp" "-pA<15"
"ENSG00000006282" 401 "exp" "-pA<15"
"ENSG00000006327" 621 "exp" "-pA<15"
"ENSG00000006451" 451 "exp" "-pA<15"
"ENSG00000006534" 810 "exp" "-pA<15"
"ENSG00000006576" 945 "exp" "-pA<15"
"ENSG00000006625" 937 "exp" "-pA<15"
"ENSG00000006634" 1096 "exp" "-pA<15"
"ENSG00000006652" 2993 "exp" "-pA<15"
"ENSG00000006695" 412 "exp" "-pA<15"
"ENSG00000006712" 333 "exp" "-pA<15"
"ENSG00000006715" 1225 "exp" "-pA<15"
"ENSG00000006744" 1087 "exp" "-pA<15"
"ENSG00000007038" 740 "exp" "-pA<15"
"ENSG00000007168" 2544 "exp" "-pA<15"
"ENSG00000007202" 3188 "exp" "-pA<15"
"ENSG00000007372" 428 "exp" "-pA<15"
"ENSG00000007944" 491 "exp" "-pA<15"
"ENSG00000008018" 2164 "exp" "-pA<15"
"ENSG00000008130" 684 "exp" "-pA<15"
"ENSG00000008282" 856 "exp" "-pA<15"
"ENSG00000008294" 2223 "exp" "-pA<15"
"ENSG00000008324" 485 "exp" "-pA<15"
"ENSG00000008394" 2931 "exp" "-pA<15"
"ENSG00000008869" 707 "exp" "-pA<15"
"ENSG00000008952" 2541 "exp" "-pA<15"
"ENSG00000008988" 10610 "exp" "-pA<15"
"ENSG00000009307" 13580 "exp" "-pA<15"
"ENSG00000009335" 1818 "exp" "-pA<15"
"ENSG00000009844" 1059 "exp" "-pA<15"
"ENSG00000009954" 2827 "exp" "-pA<15"
"ENSG00000010017" 683 "exp" "-pA<15"
"ENSG00000010072" 632 "exp" "-pA<15"
"ENSG00000010165" 422 "exp" "-pA<15"
"ENSG00000010244" 3623 "exp" "-pA<15"
"ENSG00000010256" 1852 "exp" "-pA<15"
"ENSG00000010270" 1014 "exp" "-pA<15"
"ENSG00000010278" 1020 "exp" "-pA<15"
"ENSG00000010292" 3368 "exp" "-pA<15"
"ENSG00000010810" 350 "exp" "-pA<15"
"ENSG00000010932" 274 "exp" "-pA<15"
"ENSG00000011007" 732 "exp" "-pA<15"
"ENSG00000011114" 939 "exp" "-pA<15"
"ENSG00000011198" 817 "exp" "-pA<15"
"ENSG00000011260" 1053 "exp" "-pA<15"
"ENSG00000011275" 829 "exp" "-pA<15"
"ENSG00000011295" 917 "exp" "-pA<15"
"ENSG00000011304" 2274 "exp" "-pA<15"
