"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 487 2 0 0 0 0 487 0 0 0 0 0 487 41 0 0 0 0 "TSPAN6"
"ENSG00000000419" 741 8 0 0 0 0 741 20 0 0 0 0 741 33 0 0 0 0 "DPM1"
"ENSG00000000971" 1115 12 0 0 0 0 1115 5 0 0 0 0 1115 20 0 0 0 0 "CFH"
"ENSG00000001036" 1056 45 0 0 0 0 1056 11 0 0 2 0 1056 53 0 0 0 0 "FUCA2"
"ENSG00000001084" 796 37 0 6 2 0 796 17 0 2 0 0 796 28 2 0 0 0 "GCLC"
"ENSG00000001497" 740 21 0 0 3 0 740 9 0 0 0 0 740 56 5 0 0 0 "LAS1L"
"ENSG00000001629" 1408 22 0 0 9 2 1408 13 0 2 0 0 1408 33 0 0 0 0 "ANKIB1"
"ENSG00000002549" 755 7 0 0 0 0 755 24 0 2 0 0 755 45 0 0 0 0 "LAP3"
"ENSG00000002822" 358 36 3 15 7 0 358 5 0 0 0 0 358 11 0 0 0 0 "MAD1L1"
"ENSG00000002834" 1054 21 0 0 15 0 1054 2 0 0 0 2 1054 16 0 0 0 0 "LASP1"
"ENSG00000003096" 937 28 2 10 3 0 937 16 2 3 0 0 937 67 0 2 0 0 "KLHL13"
"ENSG00000003436" 3276 35 0 0 0 0 3276 13 3 0 0 0 3276 93 0 0 0 2 "TFPI"
"ENSG00000004142" 1221 11 0 0 0 0 1221 10 0 0 2 0 1221 49 0 2 0 2 "POLDIP2"
"ENSG00000004455" 2628 50 3 0 0 0 2628 9 0 2 2 0 2628 88 0 2 0 0 "AK2"
"ENSG00000004478" 2440 34 0 7 0 0 2440 10 0 0 0 0 2440 55 3 0 0 2 "FKBP4"
"ENSG00000004487" 1876 35 0 7 0 2 1876 31 4 0 5 0 1876 48 0 2 0 0 "KDM1A"
"ENSG00000004534" 368 12 0 2 2 0 368 6 2 0 3 0 368 22 0 0 0 0 "RBM6"
"ENSG00000004700" 1159 21 0 0 0 0 1159 3 0 0 0 0 1159 15 0 0 0 0 "RECQL"
"ENSG00000004779" 1140 19 0 6 2 4 1140 6 0 0 0 3 1140 250 5 0 0 4 "NDUFAB1"
"ENSG00000004799" 955 16 3 0 0 0 955 12 3 7 0 0 955 21 0 0 0 0 "PDK4"
"ENSG00000004864" 914 21 3 0 0 0 914 7 0 0 2 0 914 29 7 3 0 0 "SLC25A13"
"ENSG00000004897" 1772 34 2 7 0 0 1772 7 0 2 0 0 1772 16 0 0 0 0 "CDC27"
"ENSG00000004975" 436 14 4 0 0 0 436 3 0 0 3 0 436 16 0 0 0 0 "DVL2"
"ENSG00000005022" 1920 49 6 2 0 10 1920 14 4 3 0 0 1920 214 6 4 0 4 "SLC25A5"
"ENSG00000005059" 442 23 9 0 0 0 442 6 0 0 0 0 442 24 0 0 0 0 "CCDC109B"
"ENSG00000005075" 257 4 0 0 0 0 257 3 0 0 0 0 257 31 0 5 0 0 "POLR2J"
"ENSG00000005175" 434 14 2 0 0 0 434 4 0 0 0 0 434 21 0 0 0 0 "RPAP3"
"ENSG00000005194" 688 40 0 0 0 0 688 11 3 5 0 0 688 39 0 0 0 0 "CIAPIN1"
"ENSG00000005436" 524 4 0 0 0 0 524 6 0 0 0 0 524 20 0 0 0 0 "GCFC2"
"ENSG00000005483" 529 15 0 4 0 0 529 10 0 0 0 0 529 13 0 0 0 0 "KMT2E"
"ENSG00000005486" 374 6 0 0 0 0 374 10 0 6 0 0 374 16 0 0 0 0 "RHBDD2"
"ENSG00000005700" 1013 25 0 6 0 0 1013 23 0 11 0 0 1013 18 0 0 0 0 "IBTK"
"ENSG00000005810" 1662 32 0 0 5 4 1662 4 0 0 0 0 1662 26 0 0 0 0 "MYCBP2"
"ENSG00000005812" 1265 33 3 0 4 0 1265 4 0 0 0 0 1265 31 0 0 0 0 "FBXL3"
"ENSG00000005884" 1290 10 0 0 3 0 1290 14 0 5 0 0 1290 17 2 0 0 0 "ITGA3"
"ENSG00000005889" 2252 56 0 0 0 22 2252 12 0 0 0 0 2252 18 0 0 0 0 "ZFX"
"ENSG00000005893" 2211 47 2 0 0 2 2211 10 0 3 0 0 2211 46 0 0 0 3 "LAMP2"
"ENSG00000005955" 519 22 0 3 2 0 519 4 0 0 0 0 519 21 0 0 0 0 "GGNBP2"
"ENSG00000006007" 1085 17 0 0 0 0 1085 5 3 0 0 0 1085 22 0 0 0 0 "GDE1"
"ENSG00000006125" 2205 15 0 0 0 0 2205 3 0 0 0 0 2205 14 0 0 0 0 "AP2B1"
"ENSG00000006327" 989 13 0 4 0 0 989 0 0 0 0 0 989 17 0 0 0 0 "TNFRSF12A"
"ENSG00000006451" 230 38 0 8 0 2 230 3 0 0 0 0 230 12 0 0 0 0 "RALA"
"ENSG00000006534" 1039 5 0 0 0 0 1039 10 0 0 0 0 1039 45 0 0 0 0 "ALDH3B1"
"ENSG00000006576" 525 16 0 0 0 0 525 8 0 0 0 0 525 18 0 3 0 0 "PHTF2"
"ENSG00000006611" 204 10 0 0 0 0 204 3 0 0 0 0 204 17 0 0 0 0 "USH1C"
"ENSG00000006625" 483 11 0 0 0 0 483 0 0 0 0 0 483 22 0 0 0 0 "GGCT"
"ENSG00000006634" 692 18 0 4 0 0 692 10 0 0 0 0 692 13 0 0 0 0 "DBF4"
"ENSG00000006652" 1866 30 0 0 0 0 1866 9 3 0 2 0 1866 88 0 0 0 0 "IFRD1"
"ENSG00000006695" 388 22 0 11 3 0 388 3 2 0 0 0 388 15 3 0 0 0 "COX10"
"ENSG00000006704" 889 27 0 0 3 0 889 4 0 0 0 0 889 7 0 0 0 0 "GTF2IRD1"
"ENSG00000006712" 371 11 2 0 0 0 371 10 0 0 0 0 371 13 0 0 0 0 "PAF1"
"ENSG00000006744" 1242 17 2 0 0 0 1242 8 0 2 0 0 1242 8 0 0 0 0 "ELAC2"
"ENSG00000007038" 1326 5 0 0 0 0 1326 9 0 0 0 0 1326 53 0 0 0 0 "PRSS21"
"ENSG00000007168" 1813 47 13 19 0 2 1813 27 2 5 0 0 1813 58 0 0 0 0 "PAFAH1B1"
"ENSG00000007202" 3262 32 0 0 0 0 3262 12 2 0 0 0 3262 27 0 0 0 0 "KIAA0100"
"ENSG00000007520" 293 2 0 0 0 0 293 14 0 0 0 0 293 16 0 0 0 0 "TSR3"
"ENSG00000007944" 316 15 0 0 2 0 316 2 0 0 0 0 316 17 0 0 0 0 "MYLIP"
"ENSG00000008018" 1405 44 0 0 5 0 1405 40 4 3 4 0 1405 166 2 3 0 0 "PSMB1"
"ENSG00000008130" 924 5 0 0 0 0 924 3 0 0 0 0 924 24 2 0 0 0 "NADK"
"ENSG00000008294" 1657 46 0 0 0 2 1657 5 2 0 0 0 1657 30 0 0 0 2 "SPAG9"
"ENSG00000008324" 227 6 0 2 0 0 227 16 0 0 0 0 227 12 0 0 0 0 "SS18L2"
"ENSG00000008394" 1778 19 0 2 0 0 1778 14 5 0 0 0 1778 142 0 0 0 0 "MGST1"
"ENSG00000008952" 1344 28 0 0 0 0 1344 13 5 0 4 0 1344 49 3 2 0 0 "SEC62"
"ENSG00000008988" 6835 222 2 0 0 12 6835 144 21 8 3 0 6835 1503 49 9 0 23 "SNORD54"
"ENSG00000009307" 8925 113 5 3 0 4 8925 55 12 4 0 6 8925 207 11 3 0 4 "CSDE1"
"ENSG00000009335" 1582 49 2 20 0 0 1582 9 0 3 0 0 1582 30 3 0 0 0 "UBE3C"
"ENSG00000009954" 2517 45 0 7 4 6 2517 12 0 6 3 0 2517 40 0 0 0 0 "BAZ1B"
"ENSG00000010017" 415 22 0 0 0 0 415 8 0 0 0 0 415 17 0 0 0 0 "RANBP9"
"ENSG00000010165" 411 23 0 2 0 0 411 4 0 0 0 0 411 15 0 0 0 0 "METTL13"
"ENSG00000010219" 127 15 15 0 0 0 127 4 0 0 0 0 127 35 5 0 0 0 "DYRK4"
"ENSG00000010244" 3074 51 8 8 4 0 3074 37 6 9 7 0 3074 81 0 2 0 0 "ZNF207"
"ENSG00000010256" 2694 47 0 0 0 0 2694 56 4 3 8 0 2694 117 3 2 0 2 "UQCRC1"
"ENSG00000010270" 646 25 3 0 2 0 646 10 0 0 0 0 646 23 0 0 0 0 "STARD3NL"
"ENSG00000010278" 427 3 0 2 0 0 427 7 0 0 0 0 427 33 0 0 0 0 "CD9"
"ENSG00000010292" 3612 59 4 7 5 2 3612 35 0 4 4 0 3612 93 3 0 0 0 "NCAPD2"
"ENSG00000010932" 70 5 0 0 0 0 70 2 0 0 0 0 70 25 3 0 0 0 "FMO1"
"ENSG00000011007" 782 29 5 11 0 0 782 9 0 3 0 0 782 28 0 0 0 0 "TCEB3"
"ENSG00000011114" 589 18 0 6 0 0 589 15 3 3 0 0 589 9 0 0 0 0 "BTBD7"
"ENSG00000011198" 615 0 0 0 0 0 615 12 4 0 0 0 615 41 0 0 0 0 "ABHD5"
"ENSG00000011304" 3053 35 0 0 0 0 3053 23 6 0 2 0 3053 35 0 0 0 0 "PTBP1"
"ENSG00000011405" 2442 25 0 2 0 2 2442 19 0 2 0 0 2442 40 0 2 0 0 "PIK3C2A"
"ENSG00000011422" 923 17 7 6 0 0 923 7 0 2 0 0 923 26 0 0 0 0 "PLAUR"
"ENSG00000011426" 4072 70 5 13 5 0 4072 31 0 5 0 0 4072 78 0 2 0 0 "ANLN"
"ENSG00000012048" 1323 17 0 7 0 0 1323 14 0 0 0 0 1323 16 0 0 0 0 "BRCA1"
"ENSG00000012061" 406 15 0 10 0 0 406 5 0 0 5 0 406 38 7 0 0 0 "ERCC1"
"ENSG00000012660" 2345 21 0 8 0 0 2345 10 3 0 0 0 2345 33 0 0 0 0 "ELOVL5"
"ENSG00000012963" 653 36 9 2 0 2 653 0 0 0 0 0 653 32 0 0 0 0 "UBR7"
"ENSG00000012983" 878 46 0 0 0 0 878 0 0 0 0 0 878 3 0 0 0 0 "MAP4K5"
"ENSG00000013275" 1427 16 0 5 0 0 1427 36 5 2 0 4 1427 134 5 0 0 0 "PSMC4"
"ENSG00000013306" 1412 19 0 0 0 0 1412 10 2 0 0 0 1412 86 3 0 0 0 "SLC25A39"
"ENSG00000013375" 662 22 0 0 0 0 662 14 0 0 0 0 662 18 0 0 0 0 "PGM3"
"ENSG00000013441" 1184 53 0 8 0 10 1184 16 0 0 0 3 1184 38 0 0 0 0 "CLK1"
"ENSG00000013503" 411 18 0 12 0 0 411 12 0 0 0 0 411 9 0 0 0 0 "POLR3B"
"ENSG00000013810" 432 14 10 3 0 0 432 9 3 2 0 0 432 29 2 0 0 2 "TACC3"
"ENSG00000014138" 762 16 0 4 9 0 762 7 0 3 0 0 762 8 0 0 0 0 "POLA2"
