current FBG 
FBgn0019650
FBgn0002466
FBgn0003117
FBgn0263831
FBgn0004379
FBgn0036336
FBgn0037021
FBgn0030373
FBgn0011692
FBgn0086365
FBgn0001325
FBgn0035162
FBgn0029830
FBgn0050197
FBgn0035084
FBgn0030300
FBgn0024510
FBgn0023526
FBgn0039776
FBgn0037228
FBgn0032820
FBgn0052182
FBgn0039788
FBgn0005636
FBgn0029708
FBgn0005624
FBgn0265597
FBgn0010303
FBgn0039073
FBgn0010414
FBgn0029838
FBgn0033785
FBgn0036801
FBgn0034275
FBgn0026376
FBgn0034997
FBgn0036710
FBgn0003028
FBgn0263111
FBgn0011592
FBgn0036144
FBgn0005592
FBgn0250848
FBgn0025682
FBgn0051337
FBgn0032981
FBgn0003900
FBgn0032520
FBgn0000221
FBgn0000404
FBgn0036147
FBgn0263392
FBgn0001235
FBgn0002734
FBgn0003218
FBgn0004875
FBgn0011656
FBgn0015513
FBgn0015805
FBgn0015924
FBgn0025625
FBgn0025641
FBgn0026189
FBgn0027500
FBgn0034538
FBgn0028888
FBgn0029713
FBgn0034098
FBgn0029837
FBgn0031157
FBgn0033159
FBgn0036752
FBgn0033960
FBgn0033799
FBgn0003292
FBgn0034408
FBgn0026319
FBgn0052407
FBgn0035085
FBgn0035147
FBgn0035194
FBgn0035266
FBgn0028369
FBgn0035312
FBgn0035936
FBgn0035617
FBgn0035833
FBgn0035767
FBgn0035987
FBgn0052758
FBgn0000723
FBgn0037031
FBgn0037222
FBgn0037241
FBgn0033483
FBgn0037669
FBgn0037770
FBgn0037902
FBgn0038277
FBgn0036330
FBgn0040752
FBgn0030362
FBgn0052428
FBgn0030073
FBgn0261551
FBgn0014388
FBgn0085421
FBgn0086356
FBgn0040153
FBgn0016075
FBgn0259735
FBgn0261451
FBgn0036402
FBgn0004611
FBgn0037130
FBgn0261859
FBgn0264495
FBgn0015396
FBgn0265089
FBgn0263108
FBgn0035267
