"P2RX7" "P2RX7"
"ELK1" "ELK1"
"ST3GAL1" "ST3GAL1"
"MGLL" "MGLL"
"SLC11A2" "SLC11A2"
"PLD1" "PLD1"
"NCR3LG1" "NCR3LG1"
"P2RX4" "P2RX4"
"RHOU" "RHOU"
"SCARF1" "SCARF1"
"DNAJC3" "DNAJC3"
"NINJ1" "NINJ1"
"TP53INP2" "TP53INP2"
"INSIG1" "INSIG1"
"MPZL1" "MPZL1"
"PHLDB1" "PHLDB1"
"MMP14" "MMP14"
"ATP13A3" "ATP13A3"
"KYNU" "KYNU"
"TBC1D9" "TBC1D9"
"FAM124A" "FAM124A"
"HRH1" "HRH1"
"ARFGAP3" "ARFGAP3"
"HS3ST3B1" "HS3ST3B1"
"GPR132" "GPR132"
"PDE4B" "PDE4B"
"XBP1" "XBP1"
"DFNA5" "DFNA5"
"SMPDL3A" "SMPDL3A"
"CEBPB" "CEBPB"
"DAGLA" "DAGLA"
"SLC15A3" "SLC15A3"
"CD109" "CD109"
"METTL21B" "METTL21B"
"MYO1E" "MYO1E"
"TPM4" "TPM4"
"ANXA5" "ANXA5"
"LRRC59" "LRRC59"
"PVRL2" "PVRL2"
"ATF5" "ATF5"
"SLC43A3" "SLC43A3"
"SRC" "SRC"
"LILRB2" "LILRB2"
"RASSF4" "RASSF4"
"HLX" "HLX"
"LILRA5" "LILRA5"
"DOCK4" "DOCK4"
"TUBB6" "TUBB6"
"OSMR" "OSMR"
"RCAN1" "RCAN1"
"GREM1" "GREM1"
"RPS6KA5" "RPS6KA5"
"CFH" "CFH"
"CPM" "CPM"
"LOC101928716" "LOC101928716"
"MMP7" "MMP7"
"CTSL" "CTSL"
"MAP3K7CL" "MAP3K7CL"
"ZMIZ1-AS1" "ZMIZ1-AS1"
"BATF2" "BATF2"
"CCL2" "CCL2"
"CCL7" "CCL7"
"CHST7" "CHST7"
"SLC1A3" "SLC1A3"
"MYOF" "MYOF"
"SLC7A11" "SLC7A11"
"MMP19" "MMP19"
"RDX" "RDX"
"PSTPIP2" "PSTPIP2"
"DNAJB5" "DNAJB5"
"MAPK6" "MAPK6"
"NRIP3" "NRIP3"
"FNIP2" "FNIP2"
"NCS1" "NCS1"
"MTRNR2L2" "MTRNR2L2"
"RAB20" "RAB20"
"MDGA1" "MDGA1"
"UBASH3B" "UBASH3B"
