"V1" "counts" "type" "size"
"ENSG00000000003" 96 "exp" "-pA<15"
"ENSG00000000419" 161 "exp" "-pA<15"
"ENSG00000000971" 113 "exp" "-pA<15"
"ENSG00000001036" 96 "exp" "-pA<15"
"ENSG00000001084" 98 "exp" "-pA<15"
"ENSG00000001497" 93 "exp" "-pA<15"
"ENSG00000001629" 86 "exp" "-pA<15"
"ENSG00000002549" 58 "exp" "-pA<15"
"ENSG00000003096" 47 "exp" "-pA<15"
"ENSG00000003436" 267 "exp" "-pA<15"
"ENSG00000004142" 96 "exp" "-pA<15"
"ENSG00000004455" 285 "exp" "-pA<15"
"ENSG00000004478" 85 "exp" "-pA<15"
"ENSG00000004487" 105 "exp" "-pA<15"
"ENSG00000004779" 178 "exp" "-pA<15"
"ENSG00000004799" 74 "exp" "-pA<15"
"ENSG00000004864" 89 "exp" "-pA<15"
"ENSG00000004897" 89 "exp" "-pA<15"
"ENSG00000004961" 70 "exp" "-pA<15"
"ENSG00000005022" 221 "exp" "-pA<15"
"ENSG00000005059" 65 "exp" "-pA<15"
"ENSG00000005075" 91 "exp" "-pA<15"
"ENSG00000005175" 56 "exp" "-pA<15"
"ENSG00000005194" 75 "exp" "-pA<15"
"ENSG00000005436" 61 "exp" "-pA<15"
"ENSG00000005700" 74 "exp" "-pA<15"
"ENSG00000005812" 59 "exp" "-pA<15"
"ENSG00000005889" 194 "exp" "-pA<15"
"ENSG00000005893" 134 "exp" "-pA<15"
"ENSG00000005955" 68 "exp" "-pA<15"
"ENSG00000006007" 106 "exp" "-pA<15"
"ENSG00000006282" 49 "exp" "-pA<15"
"ENSG00000006327" 76 "exp" "-pA<15"
"ENSG00000006451" 69 "exp" "-pA<15"
"ENSG00000006534" 80 "exp" "-pA<15"
"ENSG00000006625" 111 "exp" "-pA<15"
"ENSG00000006652" 192 "exp" "-pA<15"
"ENSG00000006704" 83 "exp" "-pA<15"
"ENSG00000007038" 99 "exp" "-pA<15"
"ENSG00000007168" 197 "exp" "-pA<15"
"ENSG00000007202" 105 "exp" "-pA<15"
"ENSG00000008018" 141 "exp" "-pA<15"
"ENSG00000008130" 67 "exp" "-pA<15"
"ENSG00000008282" 52 "exp" "-pA<15"
"ENSG00000008324" 68 "exp" "-pA<15"
"ENSG00000008394" 209 "exp" "-pA<15"
"ENSG00000008952" 119 "exp" "-pA<15"
"ENSG00000008988" 339 "exp" "-pA<15"
"ENSG00000009307" 331 "exp" "-pA<15"
"ENSG00000009335" 90 "exp" "-pA<15"
"ENSG00000009844" 106 "exp" "-pA<15"
"ENSG00000009954" 129 "exp" "-pA<15"
"ENSG00000010017" 67 "exp" "-pA<15"
"ENSG00000010072" 73 "exp" "-pA<15"
"ENSG00000010219" 50 "exp" "-pA<15"
"ENSG00000010244" 199 "exp" "-pA<15"
"ENSG00000010256" 116 "exp" "-pA<15"
"ENSG00000010270" 97 "exp" "-pA<15"
"ENSG00000010278" 106 "exp" "-pA<15"
"ENSG00000010292" 294 "exp" "-pA<15"
"ENSG00000011007" 87 "exp" "-pA<15"
"ENSG00000011198" 67 "exp" "-pA<15"
"ENSG00000011260" 60 "exp" "-pA<15"
"ENSG00000011304" 109 "exp" "-pA<15"
"ENSG00000011405" 122 "exp" "-pA<15"
"ENSG00000011422" 88 "exp" "-pA<15"
"ENSG00000011426" 207 "exp" "-pA<15"
"ENSG00000012660" 94 "exp" "-pA<15"
"ENSG00000012963" 48 "exp" "-pA<15"
"ENSG00000013275" 107 "exp" "-pA<15"
"ENSG00000013306" 80 "exp" "-pA<15"
"ENSG00000013374" 79 "exp" "-pA<15"
"ENSG00000013375" 53 "exp" "-pA<15"
"ENSG00000013441" 93 "exp" "-pA<15"
"ENSG00000013588" 104 "exp" "-pA<15"
"ENSG00000013810" 75 "exp" "-pA<15"
"ENSG00000014641" 179 "exp" "-pA<15"
"ENSG00000014824" 109 "exp" "-pA<15"
"ENSG00000014919" 53 "exp" "-pA<15"
"ENSG00000015171" 50 "exp" "-pA<15"
"ENSG00000015475" 64 "exp" "-pA<15"
"ENSG00000015479" 262 "exp" "-pA<15"
"ENSG00000016864" 92 "exp" "-pA<15"
"ENSG00000017260" 79 "exp" "-pA<15"
"ENSG00000017483" 108 "exp" "-pA<15"
"ENSG00000018408" 80 "exp" "-pA<15"
"ENSG00000018510" 211 "exp" "-pA<15"
"ENSG00000020256" 55 "exp" "-pA<15"
"ENSG00000021355" 76 "exp" "-pA<15"
"ENSG00000021776" 80 "exp" "-pA<15"
"ENSG00000021826" 530 "exp" "-pA<15"
"ENSG00000022277" 82 "exp" "-pA<15"
"ENSG00000023041" 106 "exp" "-pA<15"
"ENSG00000023228" 152 "exp" "-pA<15"
"ENSG00000023287" 162 "exp" "-pA<15"
"ENSG00000023318" 90 "exp" "-pA<15"
"ENSG00000023572" 58 "exp" "-pA<15"
"ENSG00000023697" 87 "exp" "-pA<15"
"ENSG00000023734" 172 "exp" "-pA<15"
"ENSG00000023909" 162 "exp" "-pA<15"
"ENSG00000024526" 154 "exp" "-pA<15"
"ENSG00000025796" 65 "exp" "-pA<15"
"ENSG00000026025" 384 "exp" "-pA<15"
"ENSG00000026508" 202 "exp" "-pA<15"
"ENSG00000027697" 101 "exp" "-pA<15"
"ENSG00000028839" 62 "exp" "-pA<15"
"ENSG00000029363" 243 "exp" "-pA<15"
"ENSG00000029364" 103 "exp" "-pA<15"
"ENSG00000029725" 102 "exp" "-pA<15"
"ENSG00000029993" 102 "exp" "-pA<15"
"ENSG00000030066" 211 "exp" "-pA<15"
"ENSG00000031691" 62 "exp" "-pA<15"
"ENSG00000031698" 137 "exp" "-pA<15"
"ENSG00000031823" 51 "exp" "-pA<15"
"ENSG00000033178" 183 "exp" "-pA<15"
"ENSG00000034063" 72 "exp" "-pA<15"
"ENSG00000034510" 303 "exp" "-pA<15"
"ENSG00000034677" 76 "exp" "-pA<15"
"ENSG00000034713" 93 "exp" "-pA<15"
"ENSG00000035403" 121 "exp" "-pA<15"
"ENSG00000035499" 56 "exp" "-pA<15"
"ENSG00000035687" 70 "exp" "-pA<15"
"ENSG00000035862" 93 "exp" "-pA<15"
"ENSG00000036257" 89 "exp" "-pA<15"
"ENSG00000036549" 124 "exp" "-pA<15"
"ENSG00000037241" 160 "exp" "-pA<15"
"ENSG00000037474" 159 "exp" "-pA<15"
"ENSG00000038274" 86 "exp" "-pA<15"
"ENSG00000038382" 160 "exp" "-pA<15"
"ENSG00000039319" 104 "exp" "-pA<15"
"ENSG00000039560" 98 "exp" "-pA<15"
"ENSG00000040275" 137 "exp" "-pA<15"
"ENSG00000040633" 63 "exp" "-pA<15"
"ENSG00000041357" 191 "exp" "-pA<15"
"ENSG00000042753" 81 "exp" "-pA<15"
"ENSG00000043093" 231 "exp" "-pA<15"
"ENSG00000044115" 294 "exp" "-pA<15"
"ENSG00000044574" 235 "exp" "-pA<15"
