SYMBOL	ENSEMBL	SSF339-A10_R	SSF339-A11_R	SSF339-A12_R	SSF339-A1_R	SSF339-A2_R	SSF339-A3_R	SSF339-A5_R	SSF339-A6_R	SSF339-A7_R	SSF339-A8_R	SSF339-B11_R	SSF339-B12_R	SSF339-B1_R	SSF339-B2_R	SSF339-B3_R	SSF339-B4_R	SSF339-B5_R	SSF339-B7_R	SSF339-B8_R	SSF339-B9_R	SSF339-C11_R	SSF339-C12_R	SSF339-C1_R	SSF339-C2_R	SSF339-C4_R	SSF339-C5_R	SSF339-C6_R	SSF339-C7_R	SSF339-C9_R	SSF339-D10_R	SSF339-D12_R	SSF339-D1_R	SSF339-D4_R	SSF339-D5_R	SSF339-D6_R	SSF339-D7_R	SSF339-D8_R	SSF339-D9_R	SSF339-E11_R	SSF339-E12_R	SSF339-E3_R	SSF339-E4_R	SSF339-E5_R	SSF339-E7_R	SSF339-F10_R	SSF339-F12_R	SSF339-F3_R	SSF339-F4_R	SSF339-F5_R	SSF339-F6_R	SSF339-F7_R	SSF339-F8_R	SSF339-F9_R	SSF339-G10_R	SSF339-G11_R	SSF339-G1_R	SSF339-G2_R	SSF339-G3_R	SSF339-G4_R	SSF339-G5_R	SSF339-G6_R	SSF339-G7_R	SSF339-G8_R	SSF339-G9_R	SSF339-H10_R	SSF339-H11_R	SSF339-H12_R	SSF339-H1_R	SSF339-H2_R	SSF339-H4_R	SSF339-H5_R	SSF339-H6_R	SSF339-H7_R	SSF339-H9_R
Kcnq2	ENSMUSG00000016346	7.31822486843087	7.13188648045882	8.05509924855821	6.54762102910626	8.04898401322827	6.3847827392783	6.74976222952366	6.51629905835825	7.58176569820023	7.01161868893238	8.16064828228271	7.16567411794311	8.16064828228271	6.08263766736913	8.16064828228271	6.00140400116169	7.21042600151084	7.46257583334504	7.34204523296217	8.16064828228271	3.30800877167899	7.43567795841626	4.87374365059184	8.16064828228271	8.15920835071563	6.01973064259076	7.18469131557749	7.54602378203082	7.23867856451267	7.33109335057954	7.10624242288508	7.32999084956065	8.14604933541183	8.16064828228271	8.16064828228271	7.97016956006668	3.46336080726239	7.99205223970203	8.02711380143226	7.70849692504714	7.94652621833392	6.80139411034781	5.831350159961	6.8109017766064	3.30800877167899	3.30800877167899	6.8672625035469	5.82025218163026	6.45215612078477	6.78459359824973	5.97503567939479	3.30800877167899	5.70932284834439	6.40131596865506	8.16064828228271	7.71879643727832	8.04069690111925	7.68124986886822	7.94906009934222	3.30800877167899	7.37241892325128	4.57095418186246	8.02213830864685	8.08766383002301	6.56120981099179	3.30800877167899	3.30800877167899	7.50072637662655	5.62835080733719	7.54917212695986	6.23635592750842	3.30800877167899	5.59269226376902	7.99325886688587
Kcnq3	ENSMUSG00000056258	-2.07808000077209	5.17212288439075	7.49505412088722	7.44941218118834	-2.07808000077209	6.35571983670634	-2.07808000077209	4.57586922528435	6.57308171916031	1.25306083223313	5.69961372015654	-2.07808000077209	6.58475410324148	7.49505412088722	3.09905505844447	6.88160425630934	6.32015579959092	6.36243436848435	3.98319433520427	5.15086171347718	5.8842137572721	5.47457466376985	-2.07808000077209	5.69212535490111	-2.07808000077209	6.28188709490499	7.0044321779169	5.23139013164482	3.60652951842777	6.84651504597306	5.92880785246938	5.29705401232556	5.95947951082843	6.84750812086222	2.600545820682	4.7982745129795	3.46336080726239	6.38378226567797	6.67792185401022	7.49505412088722	5.29092932434787	7.01509633264147	4.45398798664412	6.57877347406495	5.98013208833832	6.94458348802295	6.1271927962489	4.00554843726244	5.86400268448903	6.12537695480123	-2.07808000077209	-2.07808000077209	-2.07808000077209	7.49505412088722	-2.07808000077209	5.32201811632923	7.49505412088722	-2.07808000077209	5.93512448209349	7.49505412088722	6.94619766705127	-2.07808000077209	3.68615811823457	-2.07808000077209	7.49505412088722	4.96162786270584	-2.07808000077209	3.79816744795143	6.88148553705108	7.49505412088722	5.02820085662416	-2.07808000077209	6.51533402643424	-2.07808000077209
Kcnq4	ENSMUSG00000028631	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcnq5	ENSMUSG00000028033	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcns1	ENSMUSG00000040164	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcns2	ENSMUSG00000050963	-2.07808000077209	-2.07808000077209	-2.07808000077209	5.05930155143225	-2.07808000077209	5.05930155143225	-2.07808000077209	-2.07808000077209	5.05930155143225	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	4.26190836912329	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	4.61303812154968	-2.07808000077209	-2.07808000077209	5.05930155143225	5.05930155143225	-2.07808000077209	5.05930155143225	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	5.05930155143225	5.05930155143225	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.17446999396811	4.82294089937488	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	4.98722908557083	1.71449759061387	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	4.3285013167744	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	4.59195789497078	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcns3	ENSMUSG00000043673	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcnt1	ENSMUSG00000058740	4.40253774215699	5.0825363302317	3.52912920031155	4.67160423859432	7.37597995990793	-2.07808000077209	5.48338762159041	6.19839968930773	5.23544230947372	4.75861139987598	5.83651944829731	5.00405421293846	6.74565846461435	6.45804238737471	6.74630275304491	4.18489492588064	7.01558920796968	6.27523104523686	6.28773426762135	7.51539754212752	6.7181674830238	7.05440524445231	5.67609542706	5.11046337734942	-2.07808000077209	4.7056801790663	6.15856260540073	4.97017358871768	6.84795858355629	7.4304875551708	6.02156667139487	7.45664214590784	7.34477886824276	6.4060545378568	6.84982877594793	5.01337144586986	-2.07808000077209	7.51539754212752	-2.07808000077209	7.44018321780551	7.51539754212752	6.15925998656435	-2.07808000077209	7.51539754212752	-2.07808000077209	7.51539754212752	7.24159530620645	4.7339798124399	6.19400473295229	3.91676783969111	5.85228819799035	-2.07808000077209	5.62270575758603	5.40535255548141	-2.07808000077209	5.43683816244271	7.51539754212752	-2.07808000077209	2.68007112331063	-2.07808000077209	6.05003541514099	-0.0407026554250337	7.51539754212752	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	6.39484498954492	4.59996138312558	6.68538064862325	6.07933746684715	7.51539754212752	-2.07808000077209	4.54717441069829
Kcnt2	ENSMUSG00000052726	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.6178521153613	3.31359271424868	-2.07808000077209	3.6178521153613	3.6178521153613	2.12269890122362	2.31504629055399	-2.07808000077209	3.60929491310055	2.15752432506951	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.6178521153613	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.6178521153613	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.23333027322893	0.323131715620014	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.6178521153613	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	2.62838094081717	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	3.6178521153613	-2.07808000077209	0.900718918761569	-2.07808000077209	3.6178521153613	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	2.88767674162446	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
Kcnu1	ENSMUSG00000031576	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209	-2.07808000077209
