"logFC"	"AveExpr"
"miR-6124"	-7.48496323358053	7.14630091810829
"miR-6849-5p"	-12.6638164424003	3.35605845813327
"miR-7854-3p"	-9.20260519292589	2.02280811247259
"miR-5196-5p"	-5.96935487938442	6.12949343399473
"miR-711"	-7.77472276970765	4.11448478701634
"miR-7515"	-6.7124423229867	2.40667246582195
"miR-4784"	-6.96713163242479	1.70538208100952
"miR-4270"	-6.39536299500073	4.47108738612405
"miR-6893-5p"	-6.258747645593	3.31890453385341
"miR-4739"	-4.3915432526694	11.4430475393204
"miR-4534"	-5.63640972197532	5.74298820825918
"miR-6887-5p"	-6.27208172707087	3.76195225041727
"miR-7110-5p"	-5.46676545056992	5.99278366503053
"miR-3141"	-4.08479291136512	7.67195545952678
"miR-6746-5p"	-3.95068360311876	5.77432859468574
"miR-6088"	-4.98886351216388	8.39675091421993
"miR-6127"	-5.37488093812749	4.68013133200352
"miR-124-3p"	-8.96523765186406	3.40910466025514
"miR-6797-5p"	-5.82842468377785	4.54304563349788
"miR-6085"	-3.65077094229746	5.26984053150696
"miR-6726-5p"	-5.99105164047886	4.70375936298984
"miR-4800-5p"	-5.99417631992218	3.32028725966713
"miR-6075"	-7.61257465505974	2.3204300451128
"miR-6738-5p"	-4.53977056343272	4.32842831070543
"miR-1207-5p"	-3.62759269556151	6.47645209349305
"miR-6086"	-5.00000555864025	4.95487782607347
"miR-7845-5p"	-4.55222962537346	4.09901869891123
"miR-7109-5p"	-4.43533452315253	3.31576588245144
"miR-5100"	3.71370233177794	5.06556732148259
"miR-204-3p"	-4.52189574862778	3.77212119442545
"miR-4442"	-4.12536777910987	4.80715508100197
"miR-6165"	-4.26982956033249	5.88020832110616
"miR-6510-5p"	-3.58170915553545	6.65234036437263
"miR-5739"	-3.24564887893596	6.04843515535903
"miR-3175"	-4.15265316463047	2.97088861816918
"miR-4327"	-4.0846947738654	3.3834170966388
"miR-4644"	-4.79600652335549	2.94198145878388
"miR-4271"	-2.92679344988036	9.895315569899
"miR-7847-3p"	-2.85649974702987	7.54741013458245
"miR-197-5p"	-3.03089944189149	6.08595237909945
"miR-5703"	-3.79858778161481	3.32084309910558
"miR-6837-5p"	-4.2439546319956	3.09223565297676
"miR-4728-5p"	-3.32908668082776	4.43964419884904
"miR-6716-5p"	-4.21437669873547	3.15592159750614
"miR-331-5p"	-3.97490289691131	3.10196871820254
"miR-4695-5p"	-3.57932401462517	5.69298878585508
"miR-211-3p"	-3.63442670421884	4.82902347379509
"miR-6732-5p"	-4.07112522729055	3.79766884105782
"miR-296-3p"	-3.66404291970608	3.39693664488225
"miR-4685-5p"	-3.94130629496189	3.21466615224017
"miR-451a"	-2.95021103254813	4.31357064060779
"miR-548ay-5p"	3.52057073134918	5.18249276173716
"miR-6775-5p"	-2.51095302298595	6.45707350437404
"miR-3127-3p"	4.00851438449288	3.67796015057682
"miR-4478"	-3.24399291996305	5.30792761793696
"miR-4459"	-2.48887297344262	7.94023352480156
"miR-4421"	3.50255654325415	3.98291395384244
"miR-1914-3p"	-4.47606607192598	5.2557230695084
"miR-1273g-5p"	4.01527605550606	4.19453684218883
"miR-6794-5p"	-3.15597535557162	5.42442684603649
"miR-30a-3p"	-3.37435955675083	5.32217353197594
"miR-7107-5p"	-2.5942437316796	6.40884876575936
"miR-34c-5p"	3.49103087038568	4.05423434320894
"miR-3154"	-3.78589956341947	3.04297680137287
"miR-7111-5p"	-2.92009747232695	6.24893190300589
"miR-1234-3p"	3.36559527844234	3.94391892175605
"miR-6870-5p"	-3.16375382476845	4.73131122480199
"miR-6851-5p"	-3.43928529068262	3.37270109839433
"miR-1255b-2-3p"	2.22877643359611	9.59269738574821
"miR-6894-5p"	-4.57218553148722	4.78640849353738
"miR-6848-5p"	-2.89940660638457	3.59436705725521
"miR-4736"	2.82626625903499	2.78514889177837
"miR-1275"	-3.13354234970124	7.43578378725242
"miR-370-3p"	-2.7677914330183	3.59860244826871
"miR-6812-5p"	-2.56950567731834	4.1148483233017
"miR-6500-3p"	3.52909084742817	4.32663299705231
"miR-7106-5p"	-3.13265650737098	2.91238479757755
"miR-6880-5p"	-2.4790200244539	5.23861127431166
"miR-33a-5p"	-2.59641364236189	6.58261219769849
"miR-6877-5p"	-2.33320930161992	5.45144803909069
"miR-6778-5p"	-3.55306095375234	7.74873110787853
"miR-500a-5p"	3.49201023384975	3.43655572783543
"miR-1538"	3.09516143108111	4.04691119074029
"miR-6819-5p"	-2.39675594312251	3.85498318591533
"miR-339-5p"	2.10290539533816	6.07894514577665
"miR-6824-5p"	-2.56936805653168	3.67668919855618
"miR-3687"	-2.3707922880885	8.97740516468543
"miR-500b-5p"	2.8025600937333	3.72823802824612
"miR-548d-5p"	1.83065524544343	7.95031177514231
"miR-4655-5p"	-2.37534670111703	4.82437275553596
"miR-1273g-3p"	1.61069327867635	15.4707049320202
"miR-6829-3p"	2.60977849421816	3.81271234472373
"miR-3654"	2.77936107393662	3.66356325035087
"miR-602"	-2.83574917317778	5.91624236875105
"miR-129-5p"	2.45978712895939	4.35892124267719
"miR-3656"	-1.94270126748832	8.26457653846447
"miR-421"	2.76801197145485	3.82023500337994
"miR-1299"	1.84131147824716	6.77881768469565
"miR-619-5p"	1.58467637300342	15.3769442882302
"miR-1229-5p"	-2.2840956532591	3.95965718150207
"miR-1229-3p"	-2.1951094115636	5.4460610557727
"miR-4787-5p"	-1.78462787341212	11.2715026232071
"miR-132-5p"	2.77809468461226	3.47209848629335
"miR-1307-3p"	2.75139001323758	4.04530644597989
"miR-4316"	-2.20887071146509	3.57341960880495
"miR-181a-3p"	2.77232732353244	2.84759281428574
"miR-4505"	-2.65426573436648	4.70618545026651
"miR-200b-5p"	2.73737937188788	3.32432495944629
"miR-649"	1.97641736384955	6.39076055866258
"miR-4265"	2.80614469416552	3.62337710234727
"miR-320e"	-2.55987171572986	6.38592380289591
"miR-3663-5p"	-2.27662192099977	4.50976595903731
"miR-455-3p"	-2.52930125073049	5.39830326381386
"miR-2467-3p"	-2.13265427126333	4.37113695635879
"miR-4417"	-2.36410480330321	6.40058675617897
"miR-196b-5p"	-2.49025011509421	3.75140877979571
"miR-365a-3p"	-2.07970464545934	7.56005447509556
"miR-1254"	1.77895006270369	6.40409891175621
"miR-149-5p"	2.7182030228167	5.28560712227608
"miR-17-5p"	-2.02258961801921	9.56858094922202
