baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
1	1542.54870518656	7.66983820806028	0.189679547770022	40.4357681058983	0	0	Bs.idi
2	2387.43443234013	7.87151098193604	0.197934339363399	39.7682939062144	0	0	Ec.dxs
3	2546.20835686024	3.55763025143644	0.102132932730932	34.8333309962711	7.61387358148284e-266	1.10578823981736e-262	pspA
4	445.053386883395	2.9964550659478	0.11448359975592	26.1736621868659	5.30183757319068e-151	4.62002126127836e-148	pspC
5	678.875987730823	-2.1317817695887	0.081433090999333	-26.1783231291829	4.69205726154151e-151	4.62002126127836e-148	yjiH
6	2296.45164326888	-1.9679626195197	0.0789541133143821	-24.925397004759	3.94783787424306e-137	2.8667882696795e-134	iadA
7	2999.54253387839	-2.49741162998235	0.101008921768939	-24.7246637846038	5.80817317710585e-135	3.61517293323574e-132	gatD
8	1342.95198904226	1.53760150839566	0.0644255551230737	23.8663292145228	6.85431689321898e-126	3.73303233796939e-123	yjjI
9	210.750346003278	2.9890373177167	0.133520417046732	22.386368945137	5.34391695617003e-111	2.58704957533698e-108	pspD
10	621.513430995474	-1.83947759442254	0.0844260898369519	-21.7880230859327	3.01383231114026e-105	1.31312673796381e-102	yjiG
11	15231.2978620756	1.16731479263094	0.0538496081354481	21.6773126685488	3.35930114004105e-104	1.33058864246899e-101	yrbL
12	9522.14890423061	-2.34268797570339	0.110101352453096	-21.2775585722381	1.83238589631615e-100	6.65308779187457e-98	gatC
13	3995.26294985954	1.21706426971529	0.0589060322098396	20.6611143894359	7.75537512032617e-95	2.59924379994316e-92	deoC
14	19620.4947399045	-1.31456588170039	0.0645534179392431	-20.3640012204721	3.48894219916499e-92	1.08580865441156e-89	gatZ
15	4289.78520420783	5.42228726080774	0.268210106705311	20.2165657641132	6.99889423389046e-91	2.03294547847072e-88	ispDF
16	1538.00859554309	1.74382856652116	0.0883005407756928	19.7487869406253	8.21678555171581e-87	2.23753341555161e-84	flu
17	11246.7800719764	0.830928674647852	0.0432354871546026	19.2186726537068	2.58293236016364e-82	6.61990370190176e-80	wrbA
18	5144.44265210646	0.966410539334133	0.0528788882430655	18.2759239356903	1.28691936449936e-74	3.11505981729094e-72	deoA
19	3312.00084100888	0.910860977554174	0.0507993602303512	17.9305600193358	6.80903883442877e-72	1.56142011587401e-69	yccJ
20	15543.4937989002	1.69048995784149	0.0946130465185624	17.8674085662153	2.11598256137101e-71	4.60966800994674e-69	ymdF
21	3377.05887270804	-1.79133686286675	0.10045828920882	-17.8316481096262	4.01411786343456e-71	8.32833882427828e-69	gatA
22	1601.13901862024	1.18391606197479	0.0666247994527255	17.7699005730569	1.20904856824643e-70	2.39446573265895e-68	mtlR
23	320.7162902852	3.29104341414531	0.186236232901027	17.6713379715659	6.97234247601387e-70	1.32080418121706e-67	pspB
24	327.464246862034	-1.62737004480038	0.0923776094473625	-17.6164987872702	1.84049158435867e-69	3.34125909710447e-67	ompT
25	429.348746649861	1.67300087670632	0.0998637272044442	16.752838328188	5.39878494596617e-63	9.40900240382984e-61	yhcN
26	17527.214897287	-0.934483120159452	0.0560026646263315	-16.6864045915428	1.64588992634775e-62	2.75813169580659e-60	gatY
27	505.600036478794	1.61784741085424	0.100093774450902	16.1633170467342	9.15027659405277e-59	1.47658352297363e-56	inaA
28	2014.35258449046	1.55412478485215	0.0986257687281307	15.7577964146085	6.07132695143816e-56	9.44741840264859e-54	yibT
29	519.548376609648	-1.25943044307586	0.0802081982957304	-15.7020163753373	1.46510206525045e-55	2.20118955113662e-53	glpB
30	1605.71513386801	-2.10456067588965	0.135114494931958	-15.5761280604978	1.05770491898955e-54	1.53614011067916e-52	gatB
31	1692.93688664748	-1.20567545036888	0.0777716546129547	-15.5027619814591	3.32294857079714e-54	4.67035062031069e-52	thrC
32	3494.54804303689	0.674634847384972	0.0445985108248641	15.1268469486397	1.0773501994831e-51	1.46687963098371e-49	treF
33	1679.69618691822	-1.08828870822212	0.0732512961104088	-14.8569208465852	6.27434257084562e-50	8.28403350944678e-48	thrB
34	513.451207428393	1.04520812592613	0.0719021581306154	14.5365334379454	7.11032707247652e-48	9.11167501611183e-46	ybiJ
35	875.454368500952	-1.57732607495942	0.109568670903839	-14.3957762921459	5.5003798311794e-47	6.84718712127104e-45	yjiE
36	280.873091386658	-2.19386037703483	0.152681189616423	-14.368897586837	8.11120929111992e-47	9.81681635594707e-45	gatR
37	767.75625354607	-1.86356764373791	0.134447889142802	-13.860891796959	1.09307704523073e-43	1.2871720773163e-41	fdhF
38	593.819757341654	-1.09589645060073	0.0806433338393242	-13.5894239291275	4.62707897788377e-42	5.30531134385252e-40	glpQ
39	309.004463069337	1.5381061808649	0.113427056624733	13.560311151806	6.88434377538859e-42	7.69104764855593e-40	bcsA
40	241.615849672652	-2.76852222143402	0.204206878701166	-13.5574386085468	7.15926901323458e-42	7.79823377266576e-40	pyrI
41	118.825237649149	2.01456817387646	0.150678883979935	13.3699435558915	9.06095816007851e-41	9.62892553742977e-39	pspG
42	1828.97334647739	-1.90688015720006	0.142861306747494	-13.3477720497857	1.22044721657872e-40	1.26606869586511e-38	carB
43	1884.95745745576	0.906469370608292	0.070196338905514	12.913342558056	3.78506703576157e-38	3.83524118018911e-36	mtgA
44	3238.89099168552	-0.960637608383271	0.0745800087998329	-12.8806314700438	5.78602075010892e-38	5.72947554732376e-36	guaA
45	2047.27792928752	0.924373677563708	0.0718003487661274	12.874222666726	6.28688387430076e-38	6.08710067562854e-36	msyB
46	719.786892255283	-0.927248290371693	0.0724337314033178	-12.8013326444373	1.61161573030194e-37	1.52648037759251e-35	pheS
47	749.886610163388	-0.87322578398384	0.0690819911006073	-12.6404258196919	1.26367722778701e-36	1.17145567690808e-34	pheA
48	44237.9580835931	1.35413127888464	0.107928397753681	12.5465707549471	4.15100736972388e-36	3.76790398122645e-34	metE
49	529.797253437218	-1.3003123796453	0.105002779947613	-12.3835995608311	3.20633017392654e-35	2.85101644240774e-33	carA
50	316.706933152625	-2.27990332790419	0.190911366729457	-11.9422084025781	7.13044714169061e-33	6.2134716392692e-31	hycE
51	166.891521145444	-1.4123847310097	0.118540034509648	-11.9148331350852	9.90643113841791e-33	8.46320009217389e-31	yohJ
52	1356.96909123577	0.924026794554747	0.0801513734298789	11.5285210348035	9.47575395516359e-31	7.93958845820149e-29	zntA
53	3573.09842168907	-0.903908445296469	0.078570422112902	-11.5044366695344	1.25304827010685e-30	1.0301002477086e-28	thrA
54	427.567590225716	1.10268722210506	0.0967159788035442	11.4012931032307	4.11954261707614e-30	3.32386058937051e-28	mdtG
55	2473.30118282211	0.562369459519327	0.0494279043232549	11.3775703667603	5.40855825650767e-30	4.28456151338253e-28	yghA
56	331.538042666314	1.23189340206541	0.108847058599769	11.3176544953326	1.07304522878531e-29	8.34867511038859e-28	pspE
57	3204.23562365686	0.590185068488195	0.0522825117842876	11.2883839805409	1.49764876500907e-29	1.14478169634114e-27	yeeZ
