baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
1	108250.610666148	10.3581685079879	0.130008334275122	79.6731114642858	0	0	Sc.FPPS
2	3077.05554775297	3.85845167185249	0.0912978555994698	42.2622376672219	0	0	fruB
3	16886.5990860816	12.3899578285705	0.195466801515677	63.3865072354846	0	0	Sr.VO.F219L.T487N
4	19784.1546107994	12.2053634887766	0.18376863778614	66.4170101918075	0	0	t69.Sr.CPR
5	1164.28803536155	-3.01292841608105	0.120085256829048	-25.0899110818426	6.40878314819243e-139	5.32954406603682e-136	pspC
6	1817.43191758455	2.15611925124762	0.0906478228713175	23.7856705539241	4.69942566987569e-125	3.25670198922385e-122	fruK
7	1458.10061819839	-3.25621445776049	0.149242614381196	-21.818261970696	1.55663838858156e-105	9.24643202817444e-103	pspB
8	1360.10390930823	-2.26882030927614	0.107568387601015	-21.0918873088578	9.44186840865078e-99	4.90741110539624e-96	flu
9	13935.0621585305	1.23988976447235	0.0637148256677618	19.4599883383139	2.39839425576119e-84	1.10805814616167e-81	copA
10	1595.68350595534	-1.80107860529976	0.0951147398247916	-18.9358516736468	5.77737856179989e-80	2.40223400599639e-77	lysU
11	1825.87609911881	2.07727375999528	0.111023138435558	18.7102777787263	4.08241701434016e-78	1.54315363142058e-75	cueO
12	3145.81042045581	-2.64195609405418	0.141631512808959	-18.6537306681022	1.17765739674773e-77	4.0805828797309e-75	pspA
13	1113.00285134195	-2.30618918887218	0.138272212257469	-16.6786164133828	1.87511715709452e-62	5.99749010707615e-60	pspD
14	1508.62710274448	-1.44059259234993	0.0865107552032237	-16.6521791303961	2.91781227081446e-62	8.66590244431896e-60	yjjI
15	78865.4762990138	-1.10397034764533	0.0697961328480713	-15.8170704105971	2.37279350618831e-56	6.57738359915399e-54	gadC
16	807.080122696401	2.76818828288707	0.175841994537539	15.7424754545542	7.73572689773583e-56	2.0103220275491e-53	cusC
17	1432.33842425165	-1.38417934151919	0.0881806726843258	-15.6970830385287	1.58357953060348e-55	3.87324922838192e-53	mtr
18	1717.23695875699	1.59049341429366	0.105392541896304	15.0911381932371	1.85219416700854e-51	4.27856852578974e-49	bsmA
19	3163.28585311265	1.97594193958774	0.133776990603509	14.7704170251824	2.27302153103816e-49	4.97432817160878e-47	metF
20	1213.10924515488	-1.72911435905306	0.117488417340787	-14.7173176572597	4.99066473611928e-49	1.0375591986392e-46	adk
21	428.831803471914	1.74385084558195	0.122882803569185	14.191170732853	1.03909394975362e-45	2.05740602051218e-43	csiD
22	12331.7895244382	-0.897016742037096	0.0636964369935711	-14.0826831825402	4.85315424026177e-45	9.17246151409475e-43	ynhG
23	3442.27696659153	-0.930062419710605	0.0664795522016665	-13.990202835441	1.78900973573401e-44	3.23421847007913e-42	treF
24	507.225709800287	-2.21525881433348	0.159923405900319	-13.8519987231529	1.23720941242917e-43	2.14346530703354e-41	pspG
25	5585.9790809776	-0.915018015262445	0.0679355719382889	-13.4689086903342	2.38362987421046e-41	3.96445320678684e-39	serS
26	2433.99588474586	1.44830221277079	0.108918864405005	13.2970741173485	2.40704633733775e-40	3.84942256563476e-38	artP
27	6659.2894989072	0.958670983545823	0.0731690960078299	13.1021296674656	3.20146589300785e-39	4.93025747523209e-37	oppB
28	346.468985929214	2.36844593297619	0.181194270838759	13.0713069569612	4.80331094049848e-39	7.13291674664024e-37	cusB
29	450.1302591247	-1.82060890836372	0.141127212837795	-12.9004808623	4.47297281313592e-38	6.41331757138592e-36	mdtG
30	60584.8059597405	0.609906494239057	0.0473937189408671	12.8689309020048	6.73276021218643e-38	9.33160565409039e-36	ompC
31	585.219672677525	-1.43320908719707	0.113445932106129	-12.6334110054849	1.38156912584547e-36	1.85308529847273e-34	pspE
32	4448.25366110479	-1.01350917337741	0.0806463080456081	-12.5673350453221	3.19306591734829e-36	4.14899002635443e-34	deoC
33	1534.1553773927	-1.28997145106861	0.103415753475116	-12.4736455300208	1.03958905989736e-35	1.30988221547068e-33	iscR
34	2500.96059628136	-0.950469657008523	0.0779006894214627	-12.201042944129	3.06868054138432e-34	3.75281579149294e-32	mtlR
35	3505.71550998597	-1.00196451104269	0.08261088395614	-12.1287227912324	7.44007640209935e-34	8.83881076569403e-32	slyD
36	2309.93958036983	1.49887989081856	0.124435995593543	12.0453883433737	2.05108180930602e-33	2.36899948974845e-31	iadA
37	2649.85005833724	1.03282216097388	0.0860166835275016	12.0072306745431	3.25565577492754e-33	3.6586531654456e-31	fruA
38	758.621243956277	1.52975682357062	0.129457572713688	11.8166654256208	3.2014127009491e-32	3.50301947645956e-30	leuD
39	487.821256730776	-1.44533090975391	0.12293360405654	-11.7570042857375	6.49998256983598e-32	6.92998141676359e-30	nfsA
40	462.198929398436	1.28798549892697	0.110402001622013	11.6663237985185	1.8943345173751e-31	1.96916073081142e-29	lsrK
41	1459.03367463725	-1.15482551474786	0.0993735611200099	-11.6210539476714	3.2213748641876e-31	3.26694553299805e-29	lipA
42	2241.92827200309	0.940420490831229	0.0817000184743034	11.5106521197056	1.16593387569414e-30	1.1542745369372e-28	csiE
43	2057.80416414949	-1.18481866837891	0.103364492413634	-11.4625307077175	2.03480809445409e-30	1.96761210621863e-28	rraA
44	15527.6530435049	1.21862282263556	0.107223798926782	11.3652270748931	6.2302243833123e-30	5.88756204223012e-28	ahpC
45	592.578308446529	2.09690744495339	0.185003789976354	11.3344026369482	8.86347811316659e-30	8.18985377656593e-28	cusA
46	5037.93105748137	-1.17264846481558	0.103626553678969	-11.3161002000356	1.09223456926736e-29	9.87285073698624e-28	glyA
