mirs	group	control
let-7a-5p	308.962107144219	21.9256199187213
let-7b-5p	660.70328887649	36.1869040260479
let-7c-5p	486.48814045059	23.6052937423761
let-7f-5p	108.558731518864	7.60081699958203
let-7g-5p	147.491549027195	12.9733872161068
let-7i-5p	406.606821553196	22.88800353197
miR-100-5p	144.120032929402	7.45912363286489
miR-101-3p	173.963029511869	18.2216853847149
miR-103a-3p	139.778604016207	9.80117716975538
miR-106b-5p	148.402101555185	11.7862266400761
miR-107	82.9465359030601	9.51260576039076
miR-124-3p	93.6621203287596	34.0933798722823
miR-125a-5p	490.181213159464	43.2482461758742
miR-128-3p	76.9477524786373	17.8546278773641
miR-130b-3p	339.479273944245	43.191566860501
miR-135b-5p	82.6446429881973	4.60159343268799
miR-141-3p	215.535420997071	25.8359442125066
miR-148a-3p	112.901512801065	14.3677178268201
miR-148b-3p	70.8789471598419	9.58467082960809
miR-149-5p	154.83052388219	18.0224644949624
miR-151a-3p	134.708631416999	26.2095197996791
miR-152-3p	87.2902739678132	11.5842168496201
miR-15a-5p	79.5151081636107	6.18040692182508
miR-16-5p	223.068753822327	28.0117275931901
miR-17-3p	180.88021893057	13.3092785354523
miR-17-5p	238.103795464788	24.7304090194249
miR-181a-5p	910.085029440182	47.4058176884373
miR-181b-5p	362.066198700338	22.5489771919379
miR-181c-5p	321.444319123269	17.2089379714204
miR-181d-5p	283.53027651812	15.0643850704076
miR-186-5p	163.319101141633	16.0740094615426
miR-191-5p	111.26895029829	13.6991542176237
miR-193a-3p	110.816488923388	14.8750306381802
miR-193a-5p	81.5972298590922	10.2344113827701
miR-193b-3p	499.693041344362	66.9785908222171
miR-197-3p	81.1411325462085	21.5479822962376
miR-200a-3p	107.359507513295	7.66332002487197
miR-200b-3p	149.586019755967	11.5535761912708
miR-200c-3p	134.77614033172	8.2185752730639
miR-20a-5p	114.810370015585	12.0934854646135
miR-20b-5p	114.127086215895	14.2832972478599
miR-222-3p	505.433746506907	57.3678400207021
miR-2277-5p	90.0709596933268	48.618871923587
miR-25-3p	247.386929267452	35.7257356138654
miR-26a-5p	419.111589069511	35.2537177841648
miR-26b-5p	278.840448538663	4.61707950792004
miR-27a-3p	233.575063442412	27.5419123213315
miR-27b-3p	169.971722601178	21.5505963637916
miR-29a-3p	460.106916793292	64.4579930315095
miR-29b-3p	701.784524312063	34.86090634781
miR-29c-3p	190.698050068869	28.3970467348551
miR-301a-3p	90.0641423763304	9.39765989368852
miR-30a-5p	143.832613088347	20.9565807608161
miR-30b-5p	157.055490996274	15.4578465032356
miR-30c-5p	111.787501252529	11.6731413293758
miR-30d-5p	166.118703769365	21.8889434297105
miR-3176	117.723044393158	4.13606345584518
miR-3192-3p	79.9805677593679	49.9857146159804
miR-320b	482.991898264845	57.6807007765286
miR-320c	455.406429399427	54.920752187822
miR-320d	373.994841896663	46.154792025415
miR-320e	402.857475026475	58.2176196441138
miR-324-3p	111.459781330504	25.1599678450233
miR-33a-5p	91.1651351604244	6.65200465100431
miR-345-5p	99.805684125033	38.6524630515203
miR-3615	76.3040401198999	48.3801806048859
miR-365a-3p	107.585840722089	12.2009113630865
miR-3667-3p	100.713648411849	65.6554066223797
miR-378a-3p	203.829646383267	40.6782560966375
miR-378g	113.381955419137	25.6121944362241
miR-378i	159.978715301261	29.6434867179122
miR-3937	110.809516273055	61.7511245469425
miR-422a	147.434624968184	26.9623560630353
miR-425-5p	71.82391265697	6.45539333456828
miR-4299	80.4454708435777	54.9324988553703
miR-4429	556.937515046407	64.8912634239663
miR-4530	90.2262330605214	49.2111077420928
miR-4534	72.7816590063893	53.0016390199017
miR-4681	90.2731538017558	63.9738919645219
miR-4746-3p	77.4670299180356	45.6122812547267
miR-4757-3p	76.2782557324272	52.7764872023262
miR-5000-5p	90.1737700497726	63.2864552265405
miR-605-3p	92.6874744809311	53.7637640451907
miR-6076	73.5542550807127	8.00241131625255
miR-6771-5p	359.563268081605	39.7805320392593
miR-6802-5p	116.625365727653	34.6813703175988
miR-6846-5p	4190.96288859578	5.73689418071721
miR-7-5p	474.235966248775	61.5984822213528
miR-708-5p	100.793520022268	14.66809615646
miR-7155-3p	101.647418209678	60.2522126210923
miR-7155-5p	96.6849764699086	62.6436210888303
miR-920	104.709198694875	69.1225761838268
miR-92a-3p	485.123671184374	54.5456548729113
miR-92b-3p	156.940621326684	21.3556117008607
miR-93-5p	306.652011690639	30.638175167761
miR-940	70.8721298224286	48.5569712972185
miR-96-5p	73.9924558886674	1.91448040708761
miR-99a-5p	140.159162765857	7.52153978147974
miR-99b-5p	81.769330400288	6.24495747838016
