id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6846-5p	1017.39390717399	-9.02907001159472	0.471399930640064	-19.1537364024112	9.00853006501882e-82	3.36919024431704e-79
miR-210-3p	166.021995431411	-1.66941758002293	0.101408096971572	-16.4623696714368	6.83706194303287e-61	1.27853058334715e-58
miR-4448	25613.9899380824	3.49114820757037	0.22812241180274	15.303837005674	7.2078908069868e-53	8.98583720604354e-51
miR-1915-3p	1353.66364782672	3.85798555982424	0.25988079531646	14.8452122255757	7.47179772815401e-50	6.986130875824e-48
miR-1275	118.816731516207	2.70977847723456	0.183134583431414	14.7966507825072	1.53960167445997e-49	1.15162205249606e-47
miR-181c-5p	106.177030374327	-3.4081887016477	0.237420684124345	-14.3550622567608	9.90365528053781e-47	6.1732784582019e-45
miR-320b	178.132017972276	-3.13535365174939	0.222194706398429	-14.1108386539471	3.2568166025502e-45	1.74007058479111e-43
miR-320e	164.196468848044	-2.99157223775787	0.217521389520674	-13.7530026097666	4.88588901581545e-43	2.28415311489372e-41
miR-320a	246.062585016111	-3.24507954164267	0.236665658718228	-13.7116620941876	8.6454424481139e-43	3.59266163954956e-41
miR-320c	171.621136420655	-3.05915376794235	0.225645577549607	-13.5573397943942	7.16891813794893e-42	2.6811753835929e-40
miR-6859-5p	328.654945747171	3.01857596433911	0.223120956465603	13.5288769470853	1.05624949472982e-41	3.5912482820814e-40
miR-6850-5p	284.26289629593	1.34221107480952	0.101217267887314	13.2606925954948	3.91265420748062e-40	1.21944389466479e-38
miR-4429	212.237386123817	-3.03442412176271	0.229158692615016	-13.241584192752	5.04728312116841e-40	1.45206452870537e-38
miR-181d-5p	94.0242843504003	-3.5644042485243	0.269993443301524	-13.2018178106038	8.56430953906673e-40	2.28789411972211e-38
miR-17-3p	59.3019441320026	-3.48196688410676	0.273173689095786	-12.7463479211054	3.26694919242245e-37	8.14559331977332e-36
miR-181b-5p	120.958061457314	-3.51873221391092	0.287845711403415	-12.2243690786813	2.30363257623203e-34	5.38474114694236e-33
miR-320d	149.823369792261	-3.16492469087589	0.268103545160683	-11.8048595328311	3.68405674494904e-32	8.10492483888789e-31
miR-149-5p	57.6283894374746	-3.00390245819194	0.259578201085269	-11.572244686314	5.6972332481512e-31	1.18375846378253e-29
miR-221-3p	867.292132970719	-2.72211740522461	0.237516880082907	-11.46073240889	2.07750477322549e-30	4.08940413255964e-29
miR-193a-5p	31.0758645297722	-3.45100768580983	0.30749174097558	-11.2230906588281	3.14097611463899e-29	5.8736253343749e-28
miR-181a-5p	287.378346909677	-3.58480696470627	0.327077758138919	-10.9601061995286	5.94295879600084e-28	1.05841266176396e-26
miR-7-5p	174.206631538523	-3.04865311390481	0.284706571232106	-10.7080532097006	9.33032157013498e-27	1.58615466692295e-25
miR-125a-5p	160.150904436879	-3.37724500751904	0.316517759416703	-10.6700016256365	1.4062392451569e-26	2.28666729429861e-25
miR-6085	103.513525200542	1.9845494611989	0.188553905462182	10.5251039819853	6.61883254412015e-26	1.03143473812539e-24
miR-378i	80.156929830444	-2.46683757123131	0.238482251912446	-10.3439042169769	4.45989034406542e-25	6.67199595472188e-24
miR-100-5p	44.2463679246346	-4.08643501108279	0.409523806650858	-9.97850416683274	1.89298934983182e-23	2.72299237245039e-22
miR-193b-3p	187.362965245318	-2.82077344946	0.284372118408282	-9.91930385175852	3.43141040746576e-23	4.75313886071182e-22
miR-99a-5p	45.6646447137744	-3.93691768828697	0.411920976350838	-9.55745862510738	1.20683730904694e-21	1.61198983422698e-20
