id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6859-5p	327.78306690053	4.69973760627471	0.238104369429572	19.7381409569841	1.01442207444671e-86	3.91566920736432e-84
miR-3197	2658.14467633054	4.76717518608967	0.339167550705641	14.0555167384719	7.12598644391666e-45	1.37531538367591e-42
miR-4763-3p	313.643824120506	2.67646616906753	0.201912085343884	13.2556016372628	4.18745177148848e-40	5.38785461264852e-38
miR-6845-5p	587.006587771501	2.70421220665356	0.224665850513338	12.0365965743112	2.2817653110906e-33	2.20190352520243e-31
miR-937-5p	177.133799861513	2.093918098892	0.177123293721869	11.8218109820158	3.01122294816611e-32	2.32466411598424e-30
miR-4448	25596.448606708	2.65728845064744	0.229818896333144	11.5625324681546	6.37990482022851e-31	4.10440543434701e-29
miR-4463	98.9307142846108	1.71553632649273	0.160051544553541	10.7186489907247	8.3209851920363e-27	4.58842897732288e-25
miR-6088	61.4454578949858	-2.18001799555492	0.225156512103796	-9.68223381675918	3.58789468657978e-22	1.73115918627474e-20
miR-1915-3p	1350.91302005141	2.32035151143527	0.258052704163135	8.99177367259208	2.4327226956164e-19	1.0433677338977e-17
miR-4440	38.1431480932547	3.25417098391064	0.362718809681805	8.97160802541606	2.92216677899103e-19	1.12795637669054e-17
miR-4507	124.159585390653	2.09277663890895	0.237253486082905	8.82084673848654	1.13597410941385e-18	3.98623642030677e-17
miR-1290	1732.54875615429	-3.06713974034248	0.36037328158573	-8.51100760535389	1.72428325415902e-17	5.54644446754484e-16
miR-181c-5p	106.425383801142	-2.05157795730006	0.248919775583002	-8.24192434086443	1.69462719524271e-16	5.03173921048991e-15
miR-920	129.473446612889	-2.0994573813353	0.257307316531587	-8.15933806172031	3.3686558268804e-16	9.28786535125595e-15
miR-3178	3876.64250183782	1.56616231797164	0.195336540163357	8.01776419640625	1.07687282777599e-15	2.77115274347687e-14
miR-1275	118.59128308705	1.45024042222073	0.183576929324292	7.89990565567665	2.79114612052879e-15	6.73364001577572e-14
miR-574-3p	658.496045207437	1.94220298661665	0.250827668801154	7.7431768030199	9.69630592948621e-15	2.2016318169304e-13
miR-210-3p	166.411834904306	-0.831431464562494	0.108168370799093	-7.68645638665257	1.51266218224125e-14	3.07309264392171e-13
miR-8072	1210.50531536493	-1.72232403379802	0.223947444756639	-7.69075099592963	1.46273868253144e-14	3.07309264392171e-13
miR-6886-3p	61.481051437736	1.45464465439874	0.190666353214372	7.62926772278082	2.36090892961721e-14	4.55655423416121e-13
miR-4454	906.132585280801	1.74854417872344	0.233844775928341	7.47737113981652	7.58240548400258e-14	1.39371834134524e-12
