"prot id","symbol","gene id","JCKP5vsWTP5","JCKP10vsWTP10","JCKP15vsWTP15","JCKP20vsWTP20","JCKP26vsWTP26_1","JCKP26vsWTP26_2","JCKP35vsWTP35","JCKP44vsWTP44","JCKP50vsWTP50","JCKP64vsWTP64","Early Spectra","Late Spectra","cluster","Detect FA","fa","early FA","late FA","flipped"
Q64429,Cyp1b1,ENSMUSG00000024087,0.11782758,-0.36348563,0.40123413,0.42456813,0.60402652,0.38352701,0.78276105,1.31304259,1.94469222,1.91895123,2,1,m,1,1,1,1,0
P01027,C3,ENSMUSG00000024164,-0.60769886,-0.08663605,-0.16887760,-0.04715731,-0.13907519,-0.24202584,-0.21602039,0.30614811,0.35605197,0.90863014,123,196,m,1,1,1,1,0
Q9DC40,Telo2,ENSMUSG00000024170,-0.21776972,0.01988084,-0.15677438,-0.06497884,0.04700686,-0.05411152,0.17366997,0.18661024,0.27881360,0.19473631,2,1,m,1,0,0,0,0
Q62241,Snrpc,ENSMUSG00000024217,-0.19401292,-0.19432623,0.04633062,-0.00699429,0.16568146,0.05091373,0.06889389,0.23029427,0.25626026,0.21594659,8,5,m,1,1,0,1,0
Q8BIH0,Sap130,ENSMUSG00000024260,0.01121521,0.00272104,0.28909128,0.39894665,0.21744615,0.04041756,0.19409732,0.31413331,0.38479542,0.42370869,3,2,m,0,0,0,0,0
Q9R233,Tapbp,ENSMUSG00000024308,-0.17816211,0.09621779,0.19736663,-0.00129956,0.08634507,-0.39193714,0.25114484,0.70917319,0.46698550,0.75488912,4,5,m,1,1,1,1,0
Q9Z1R3,Apom,ENSMUSG00000024391,-0.37844685,-0.13998680,0.03232029,0.11922564,0.18832692,0.04519733,-0.27931873,-0.07574373,0.08661513,0.47250948,12,3,m,1,0,0,0,0
O70200,Aif1,ENSMUSG00000024397,0.00330488,0.06750033,0.15598733,0.51886382,0.25537647,-0.04409499,0.62568584,1.76184970,1.91002429,2.09367284,1,3,m,1,1,0,1,0
Q61789,Lama3,ENSMUSG00000024421,-0.32962663,-0.53477168,-0.06942648,-0.12728140,-0.06473782,-0.14375663,-0.08704171,-0.04057120,0.08920179,0.21642145,2,14,m,1,1,0,1,0
G3X8X0,Dhx16,ENSMUSG00000024422,-0.11388239,-0.21793565,0.07063920,0.13286583,0.21626324,-0.06082049,0.03948212,0.02799192,0.00955602,0.03958667,5,6,m,1,0,0,0,0
Q9Z1M8,Ik,ENSMUSG00000024474,-0.29288271,-0.29033089,0.13433207,0.03190363,0.14980997,0.03340116,0.06417213,0.22839006,0.14987264,0.13500006,15,10,m,1,1,0,1,0
Q8BI08,Mal2,ENSMUSG00000024479,-0.06132358,0.60485103,0.73716114,1.01548802,0.70468221,0.32390469,0.26129771,0.94104636,1.03946922,1.35650450,1,1,m,1,0,0,0,0
Q9EST4,Psmg2,ENSMUSG00000024537,-0.13959794,-0.39276872,0.22151062,0.46363574,0.77665681,-0.18649365,-0.04369860,0.08680274,-0.12176346,0.00548378,1,5,m,1,0,0,0,0
P30412,Ppic,ENSMUSG00000024538,-0.12701737,-0.02420629,0.27382106,0.25229948,0.25665224,0.22976589,-0.01765721,0.30653333,0.40377243,0.30277026,18,11,m,1,1,0,1,0
Q62432,Smad2,ENSMUSG00000024563,-0.22400697,-0.06407048,-0.02611029,0.05207733,0.03772429,0.16085780,0.00572598,0.28882602,0.42390023,0.45173376,3,3,m,1,1,1,1,0
Q61555,Fbn2,ENSMUSG00000024598,-0.22499003,-0.16376944,-0.37455998,0.22525728,-0.08980365,-0.14250705,0.01999964,0.42342194,0.27800848,0.91151766,31,8,m,1,1,0,1,0
P62264,Rps14,ENSMUSG00000024608,-0.37070481,-0.31031910,-0.15791682,-0.05883434,0.03765306,-0.08075256,0.06265419,0.20145115,0.05532928,-0.01295145,13,19,m,1,0,0,0,0
P09581,Csf1r,ENSMUSG00000024621,0.18810608,0.02318145,-0.04982264,0.00462957,-0.00536183,-0.24452780,0.16200045,0.66897237,1.07989254,1.04281546,2,1,m,1,1,0,1,0
P10107,Anxa1,ENSMUSG00000024659,-0.14238076,-0.01199904,-0.21399389,0.17446794,0.05885360,0.29173040,0.35045412,0.99487358,0.89898362,1.33396147,32,27,m,1,1,1,1,0
Q8VDV3,Rab3il1,ENSMUSG00000024663,-0.23337144,-0.38538241,-0.05483994,-0.33438161,-0.03935134,-0.00409501,0.14582266,0.34658516,0.32075656,0.36605510,3,4,m,1,0,0,0,0
Q91Z50,Fen1,ENSMUSG00000024742,-0.17423768,-0.08158446,-0.16457298,0.64936686,0.54270553,0.26798396,0.74253219,0.90675704,0.84003275,1.04922071,11,6,m,1,1,1,1,0
Q9JJT0,Rcl1,ENSMUSG00000024785,-0.02442787,0.10862362,0.03425466,0.25293228,0.44824806,-0.00208374,0.09379420,0.03428036,-0.03301240,0.19582341,4,2,m,1,1,1,1,0
Q91WE1,Snx15,ENSMUSG00000024787,-0.16588726,-0.30018400,-0.33034220,-0.25161750,0.24384243,-0.07134255,-0.11902144,-0.19449100,-0.13701748,-0.10586522,3,8,m,1,0,0,0,0
Q3UVL4,Vps51,ENSMUSG00000024797,-0.00322426,-0.13107326,0.02896017,-0.07563325,0.18307320,0.02702159,0.01454867,-0.09762544,0.06174532,0.30632963,10,17,m,1,0,0,0,0
O08915,Aip,ENSMUSG00000024847,-0.21854739,-0.17916881,-0.02380395,0.11217382,0.13020136,0.01479973,0.03361866,0.19596925,0.21010591,0.13931899,10,12,m,1,0,0,0,0
Q9D6N5,Drap1,ENSMUSG00000024914,-0.16184984,-0.10142328,-0.04024168,0.29648322,0.47791876,-0.08244996,0.25881032,0.19596973,0.04902228,0.11478994,3,5,m,1,0,0,0,0
O35350,Capn1,ENSMUSG00000024942,-0.04109657,0.03521859,0.21542990,0.20794599,0.18429011,0.14449254,0.17610400,0.31566786,0.36641216,0.51294927,37,48,m,1,1,0,1,0
Q8K1B8,Fermt3,ENSMUSG00000024965,-0.03408667,-0.16623455,0.10203186,-0.25837247,-0.04491734,0.04183531,0.18337130,0.46386895,0.46286490,0.74374083,5,12,m,1,1,0,1,0
Q8VI84,Noc3l,ENSMUSG00000024999,-0.14991796,-0.14372702,-0.28486263,0.10951066,0.10489567,0.09128414,0.07903433,0.36661274,0.35485897,0.52288973,4,2,m,1,1,1,1,0
Q9Z110,Aldh18a1,ENSMUSG00000025007,0.19367250,0.21206132,0.18497002,-0.06590101,0.09859136,-0.11660085,0.28474000,0.47496595,0.57873894,0.97827883,14,4,m,1,1,1,1,0
Q8C092,Taf5,ENSMUSG00000025049,0.08079202,0.20125817,0.21345573,0.17947737,0.00976812,-0.20857888,0.12438196,0.15956082,0.19655384,0.32236897,3,3,m,1,1,0,1,0
P97864,Casp7,ENSMUSG00000025076,-0.15864454,0.09343918,-0.05254331,0.09081524,0.30903749,-0.00045992,0.02451855,0.20645710,0.05175726,0.17957096,4,1,m,1,1,1,1,0
Q5DTU0,Afap1l2,ENSMUSG00000025083,0.01562310,-0.24834693,0.16760624,-0.01979055,0.07860593,0.00718371,0.17991407,0.46375828,0.22067300,0.57468327,7,7,m,1,1,1,0,0
Q9JJN5,Cpn1,ENSMUSG00000025196,-0.23478911,-0.05632899,-0.27792857,-0.19585094,0.18679774,-0.08215831,-0.07366936,-0.14744775,0.00873593,0.28362741,5,5,m,1,1,1,0,0
Q8CI33,Cwf19l1,ENSMUSG00000025200,-0.13247843,0.01521394,0.00042369,0.18726954,0.24734395,0.08033792,-0.00527212,0.23239051,0.26822489,0.20924711,5,9,m,1,0,0,0,0
Q9QXE2,Poll,ENSMUSG00000025218,-0.26922909,-0.04153117,-0.10800123,0.39416910,0.06965933,-0.21807433,0.24723749,-0.17425035,0.17780326,0.38952622,1,1,m,0,0,0,0,0
Q9JHQ5,Lztfl1,ENSMUSG00000025245,-0.28887834,-0.14978580,-0.12319891,0.02144778,0.20915090,-0.18372032,-0.10334610,-0.06503494,-0.07899233,-0.07778674,8,10,m,1,1,0,1,0
P41731,Cd63,ENSMUSG00000025351,-0.09985092,-0.06299766,-0.06649430,-0.07437051,0.19876514,-0.09495333,-0.06260891,0.29701201,0.35057434,0.30792538,8,5,m,1,1,1,1,0
Q61127,Nab2,ENSMUSG00000025402,0.18955655,0.16451085,0.25550374,0.25212446,0.39619493,-0.00905284,0.46182786,0.40988574,0.26122242,0.43641352,7,5,m,0,0,0,0,0
