"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:0.ad:T.mm:0"	7.80087968336265	8.41658866140107	8.1473992595047	8.21995508317334	8.5336038264717	8.87314141310855	9.46581532125481	7.91532753974307	8.37897967988914	9.27089672733665	6.75207775820239	7.37495103958484	7.61947010845284	9.61784663086538	8.22368530278269	8.78083213626644	7.84108638427636
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:C.ad:0.mm:0"	7.52908816821602	7.77957881976657	6.68774744007245	7.29442161047287	7.48899692154407	8.04958715463975	8.36153098027943	7.31258105649125	7.4688869865719	8.34159189249811	6.60430552058271	7.19934192823919	6.60927006265369	8.58957369098924	7.3559665920144	7.90683561409609	7.25062280061621
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:C.ad:A.mm:0"	3.76612484705587	2.9155942919423	2.5507333581015	2.65340229842621	4.01845604331155	3.44326215298518	4.79788215881195	3.76775853454862	3.53052663051552	4.26617777733018	2.32812125365379	2.12691201937615	2.59463744390178	4.11410807560189	3.18086216776749	3.96112145083829	2.7909446981334
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:CT.ad:0.mm:0"	4.28567044551367	3.52026056268914	3.41740215937506	4.0493597092026	4.31360138863143	4.22696700575214	4.85283172703225	3.98701838553198	4.66265981868752	5.03868129692001	3.15577008603751	2.56522884737439	3.08093647911183	5.13654377257411	3.91725885308238	4.55363164678478	3.48461979627446
"hsa-let-7a-3p.iso.t5:c.seed:0.t3:C.ad:0.mm:0"	3.07799365046233	3.59000043946281	3.87842619971437	3.38104252518724	3.70848873134764	4.5700939607194	4.64631192154422	3.12868743997559	4.28276379360665	5.15342560325008	3.15110311219467	2.10871095243994	2.85620807057655	4.37584841678346	3.52719030923488	4.35625654381919	3.12296763799865
"hsa-let-7a-3p.iso.t5:c.seed:0.t3:CT.ad:0.mm:0"	5.28340702984596	5.45665584149399	4.95909510767051	5.10044124312351	5.88746772597217	6.07192929332374	6.28039180463666	4.67458895056989	5.64477796361141	6.8585868933353	3.78325278542648	3.8244500727782	4.78547280943594	5.79176685854718	5.33741338962123	5.9060549810954	4.54623563154695
"hsa-let-7a-3p.iso.t5:ct.seed:0.t3:CT.ad:0.mm:0"	2.55742993001892	2.19016268410837	2.20850935237166	2.13499809795209	3.0658638133703	3.36295629496929	3.076939397134	0.862109514189168	1.92063361580624	3.34652088963087	1.26905599954342	1.46022751805644	2.41006381873963	2.22687677873373	2.43139277556427	2.51383194234592	1.8415560287683
"hsa-let-7a-3p.iso.t5:cta.seed:0.t3:CT.ad:GT.mm:0"	3.78286794621941	3.45350372575676	3.90731255873806	3.1669008117082	3.40784948608895	3.69151319856975	3.39573249548653	3.38494096233688	3.46620812210676	4.05326576323603	2.35561519245951	2.55960683604479	2.62691589654212	4.23663902171596	3.54368690570228	3.59833210834719	2.9446942366906
"hsa-let-7a-3p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	3.27232635281435	2.88257715791044	3.42944047901259	2.94509652048366	3.68778188038237	3.32723790934306	6.36397902580267	3.00234781464186	2.50413805438574	3.84691055335206	2.28524279109943	2.30780660295678	2.5463858555269	3.57001245017078	3.24344447812068	3.80892267150508	2.67736192493847
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:A.mm:0"	15.7500847409452	15.2559279109652	14.7639353902604	14.847733726469	15.8026375701642	15.5264734411152	15.3561292386754	14.9744713249745	14.6995356875963	15.3939237921874	13.7934754298849	14.0214325206667	14.5326571504547	15.3204429694302	15.2840638677608	15.1901066969098	14.4170020176091
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AA.mm:0"	11.0570701037617	10.5581012204382	10.164802357396	10.1294647944988	10.9725092672057	10.8387900076328	10.589171772116	10.327920882541	10.0544310892076	10.729398434141	9.30274702681682	9.40695619049937	10.1851983308426	10.6286286573777	10.5763895486601	10.5079424371277	9.88088255138411
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AAA.mm:0"	6.74171645596696	6.26079443133317	6.08011709739161	5.75092640441977	6.52276749839959	6.44101583111945	6.12759957928031	5.86891288373481	5.61104561369912	6.19093789118957	5.13522207202692	5.10164554132686	5.89513792557095	6.433647869912	6.27126437750222	6.04790235980465	5.64141335220918
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AAT.mm:0"	3.58001137360965	3.04280699687679	3.43368944332723	3.04080059964473	3.88585093300094	4.15726074983399	3.31448250845488	3.07171373844539	3.10986358609894	3.73341782556732	1.97542635071722	2.50560606421605	3.75778419620539	3.51165299384068	3.39663186929187	3.4773476816801	2.93761740124484
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AG.mm:0"	6.50585883983797	6.28533716840239	6.12208306699633	6.0561338717643	6.59989827936876	6.36847420961543	6.18067901831911	5.96599245940321	5.74258835535032	6.34622798965876	5.54968428356059	5.63498406971368	5.94333639944812	6.41133383846949	6.31386224527395	6.12079240646937	5.88483464779797
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AT.mm:0"	9.47821750654452	8.94441228869775	8.6487045334583	8.55987824300641	9.39216294065975	9.33881950245774	9.02016320665307	8.56636506164294	8.60005080586052	9.16747324016239	7.71609220368828	7.91744696143285	8.61208184478227	9.15891810925866	9.00467510247335	8.93857436335533	8.35113477979051
