"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-IV_35256-5p"	845.996141730531	0.434101148783852	0.112665410522128	3.85301173423225	0.000116673796734685	0.0276516898261203
"cel-II_11977-3p"	22.1489519290409	-1.038848527106	0.293641381880005	-3.53781377970262	0.000403454492496292	0.0478093573608106
"cel-IV_39449-5p"	468.262246615185	0.396761880325547	0.121746088259692	3.25892918612078	0.0011183357855552	0.0883485270588608
"cel-V_47132-3p"	13.7620062158509	0.918619777546779	0.330804485558642	2.77692660664946	0.0054875568662951	0.263442800406468
"cel-X_47973-3p"	25.3420750192109	-0.774661709987004	0.279380268990986	-2.77278604099274	0.00555786498747823	0.263442800406468
"cel-I_4073-5p"	118.214763720794	0.41202468264601	0.159281393391117	2.58677221409208	0.00968796131023077	0.32220132483655
"cel-I_513-5p"	17.632720932643	-0.782362227219475	0.307211335122557	-2.54665807466825	0.0108759940873097	0.32220132483655
"cel-III_19375-5p"	18.7978632563148	-0.778482659824201	0.30055434783929	-2.59015604139743	0.00959324362022011	0.32220132483655
"cel-IV_24394-3p"	12.5916166040474	0.834243982862881	0.340260281173715	2.4517818535422	0.014215081073064	0.374330468257353
"cel-IV_24394-5p"	86.3873090686308	0.41368793234939	0.173634110778096	2.38252685774446	0.0171942776823326	0.407504381071282
"cel-III_16120-5p"	306.193103397817	-0.283995345696248	0.124389213377714	-2.2831187526999	0.02242337422678	0.440319203867972
"cel-III_19415-5p"	243.462213011705	-0.280178074442139	0.124468235295282	-2.25100061696431	0.0243854983012691	0.440319203867972
"cel-IV_31333-5p"	5.49074403690253	0.732565291825327	0.329086611147602	2.22605620225843	0.0260104171061249	0.440319203867972
"cel-X_47973-5p"	61.6645192240447	-0.444498945506449	0.19782096152045	-2.24697596296183	0.0246415633339033	0.440319203867972
"cel-X_47818-5p"	383.734365106434	-0.243550716852362	0.110781833442411	-2.19847162015937	0.0279155148010282	0.441065133856246
"cel-III_14010-5p"	32.4057550970744	0.539054889521213	0.251457991971927	2.14371746665898	0.0320555318077368	0.474822564902102
"cel-II_12846-5p"	228.622872744164	-0.267780385486996	0.128102979685697	-2.0903525128299	0.0365861452991279	0.510053907993724
"cel-III_15306-5p"	11.5933536247447	0.697439591261521	0.33866071552492	2.05940506025477	0.039455451416207	0.519496776980059
"cel-I_4073-3p"	80.9551707956334	0.34779802259399	0.173645714953325	2.00291739238988	0.045186155940227	0.563637839885989
"cel-I_4360-5p"	14.5777974247421	-0.632073330811468	0.328811257450203	-1.92229832917808	0.0545682301223187	0.646633526949477
"cel-III_14129-5p"	278.21606279133	0.240747386393936	0.130645525047473	1.84275264159606	0.0653651342287253	0.720273369825811
"cel-IV_24895-5p"	7.21753293093008	-0.635001748735586	0.350334489835076	-1.81255847528606	0.0698999472826736	0.720273369825811
"cel-X_47553-5p"	52.5154799846414	-0.391647380505402	0.215921739046591	-1.81383950608555	0.0697024383407669	0.720273369825811
"cel-I_5752-5p"	50.1594348179448	0.389361303551015	0.219397195128343	1.77468678814807	0.0759496180171438	0.750002477919295
"cel-I_1060-5p"	8.69431578457861	-0.493848892269833	0.355239681736143	-1.39018504311307	0.164472694093471	0.775805428550002
"cel-I_218-5p"	9.53120136254379	0.564707572466999	0.35511000645042	1.59023277916513	0.111782344366127	0.775805428550002
"cel-I_2836-5p"	333.0533485113	-0.202027630267349	0.122887916820861	-1.64399914567559	0.1001763788466	0.775805428550002
"cel-I_3448-5p"	20.5278285134241	0.373002379754845	0.291219103871925	1.28083073807853	0.200253124911454	0.775805428550002
"cel-I_3603-5p"	8.52628305156659	-0.480602470877628	0.353948677802408	-1.35783095408517	0.174517330418523	0.775805428550002
"cel-I_3817-5p"	382.703276045018	-0.139474536977487	0.113350530298458	-1.23047097009818	0.218520791364878	0.775805428550002
"cel-I_4098-5p"	6.82978138440149	0.529446904405775	0.35285414776455	1.50046955026602	0.133492815322694	0.775805428550002
"cel-I_438-5p"	44.3611621437343	0.334920203360013	0.228684439173244	1.46455178398163	0.143043244994574	0.775805428550002
"cel-I_7130-5p"	8.65445500389759	-0.439228292614283	0.35252903080849	-1.24593509818739	0.212788223308964	0.775805428550002
"cel-I_7143-5p"	8.30409717526103	0.478748482656077	0.354635057709279	1.34997505815836	0.177023983520604	0.775805428550002
"cel-I_7217-5p"	6.26467466609314	0.456977075185868	0.341616975361272	1.33768842927843	0.180998024384022	0.775805428550002
"cel-II_10021-5p"	8.14330003412558	-0.456281433545042	0.355355700998064	-1.28401326407179	0.199137314414498	0.775805428550002
"cel-II_12541-5p"	33.2227893140381	-0.330699169901763	0.263852258124358	-1.25334978086827	0.210078439108328	0.775805428550002
"cel-II_13004-3p"	9.05178435252644	-0.514043348873867	0.353856656923202	-1.45268808376673	0.146310377008803	0.775805428550002
"cel-II_13004-5p"	7.04658084254561	0.55967102439687	0.351983908683936	1.59004718849073	0.111824168755152	0.775805428550002
"cel-II_13103-3p"	12.5690431588324	-0.528135714208052	0.328553557993458	-1.60745699250217	0.107954156510236	0.775805428550002
"cel-II_8471-5p"	5.81984631043839	-0.555351427079932	0.337683370602532	-1.64459216954928	0.100053942751053	0.775805428550002
"cel-II_8675-5p"	11.2073705031204	0.478982361669837	0.338670816123667	1.41430066857291	0.157273640749336	0.775805428550002
"cel-II_9959-5p"	20.9810033977267	0.492664729228187	0.292937021760097	1.68181108098948	0.092605479305727	0.775805428550002
"cel-III_14129-3p"	28.6131346221808	0.445898054018492	0.272707679961627	1.63507699556255	0.102032907939925	0.775805428550002
